LSOA21CD,All categories: Economic activity_weighted,Economically active: Total_weighted,Economically active: Employee: Part-time_weighted,Economically active: Employee: Full-time_weighted,Economically active: Self-employed with employees: Part-time_weighted,Economically active: Self-employed with employees: Full-time_weighted,Economically active: Self-employed without employees: Part-time_weighted,Economically active: Self-employed without employees: Full-time_weighted,Economically active: Unemployed_weighted,Economically active: Full-time student_weighted,Economically inactive: Total_weighted,Economically inactive: Retired_weighted,Economically inactive: Student (including full-time students)_weighted,Economically inactive: Looking after home or family_weighted,Economically inactive: Long-term sick or disabled_weighted,Economically inactive: Other_weighted
E01000142,1770.0,1321.0,208.0,693.0,17.0,37.0,84.0,133.0,96.0,53.0,449.0,81.0,118.0,104.0,77.0,69.0
E01000143,1077.0,709.0,121.0,306.0,9.0,23.0,44.0,55.0,64.0,87.0,368.0,81.0,133.0,62.0,69.0,23.0
E01000144,1201.0,892.0,125.0,462.0,5.0,45.0,69.0,87.0,49.0,50.0,309.0,55.0,133.0,66.0,25.0,30.0
E01000145,992.0,678.0,116.0,283.0,8.0,43.0,59.0,89.0,47.0,33.0,314.0,66.0,108.0,88.0,14.0,38.0
E01000146,1352.0,1042.0,127.0,535.0,12.0,34.0,83.0,114.0,78.0,59.0,310.0,62.0,127.0,46.0,36.0,39.0
E01000147,1335.0,911.0,164.0,455.0,5.0,33.0,46.0,115.0,54.0,39.0,424.0,133.0,121.0,76.0,27.0,67.0
E01000150,1532.0,1120.0,205.0,565.0,8.0,37.0,54.0,98.0,79.0,74.0,412.0,143.0,98.0,87.0,37.0,47.0
E01000151,1127.0,705.0,151.0,301.0,6.0,13.0,33.0,54.0,97.0,50.0,422.0,64.0,125.0,102.0,64.0,67.0
E01000152,1116.0,716.0,178.0,290.0,6.0,10.0,35.0,52.0,87.0,58.0,400.0,69.0,139.0,93.0,55.0,44.0
E01000153,1107.0,669.0,150.0,302.0,7.0,9.0,36.0,42.0,70.0,53.0,438.0,123.0,102.0,83.0,76.0,54.0
E01000154,979.0,627.0,111.0,287.0,4.0,23.0,33.0,70.0,58.0,41.0,352.0,79.0,88.0,64.0,77.0,44.0
E01000156,1418.0,1066.0,155.0,548.0,9.0,40.0,61.0,144.0,53.0,56.0,352.0,117.0,100.0,64.0,31.0,40.0
E01000157,1172.0,906.0,122.0,525.0,2.0,20.0,60.0,91.0,64.0,22.0,266.0,76.0,65.0,69.0,37.0,19.0
E01000158,1098.0,800.0,150.0,389.0,3.0,29.0,37.0,91.0,57.0,44.0,298.0,93.0,74.0,54.0,40.0,37.0
E01000159,1271.0,878.0,153.0,420.0,10.0,37.0,57.0,83.0,69.0,49.0,393.0,143.0,112.0,57.0,36.0,45.0
E01000160,1654.0,1275.0,147.0,736.0,12.0,55.0,98.0,129.0,56.0,42.0,379.0,112.0,103.0,76.0,37.0,51.0
E01000161,1413.0,1061.0,135.0,487.0,5.0,31.0,57.0,241.0,52.0,53.0,352.0,101.0,109.0,46.0,54.0,42.0
E01000162,1146.0,812.0,155.0,401.0,9.0,31.0,39.0,82.0,63.0,32.0,334.0,104.0,89.0,62.0,48.0,31.0
E01000163,1211.0,860.0,146.0,447.0,7.0,17.0,33.0,84.0,99.0,27.0,351.0,76.0,82.0,62.0,92.0,39.0
