LSOA11CD,Borough,All categories: Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E01002158,Harrow ,770,70.0,128.0,132.0,154.0,110.0,11.0,9.0,11.0,84.0,61.0,9044.1,14.5
E01002159,Harrow ,919,140.0,95.0,154.0,254.0,75.0,10.0,4.0,15.0,91.0,81.0,10069.9,13.5
E01002160,Harrow ,1056,153.0,124.0,178.0,287.0,67.0,17.0,5.0,6.0,103.0,116.0,9460.0,11.3
E01002161,Harrow ,982,101.0,130.0,150.0,272.0,95.0,7.0,10.0,14.0,91.0,112.0,10922.5,14.0
E01002162,Harrow ,887,124.0,111.0,168.0,246.0,59.0,12.0,4.0,12.0,74.0,77.0,9304.0,12.6
E01002163,Harrow ,772,130.0,104.0,131.0,201.0,50.0,10.0,8.0,4.0,92.0,42.0,6826.3,10.7
E01002164,Harrow ,933,105.0,99.0,118.0,314.0,68.0,12.0,9.0,13.0,93.0,102.0,10117.0,13.7
E01002165,Harrow ,872,73.0,148.0,166.0,196.0,23.0,3.0,6.0,14.0,68.0,175.0,7443.4,11.8
E01002166,Harrow ,807,78.0,148.0,135.0,181.0,31.0,9.0,8.0,9.0,72.0,136.0,6852.3,11.4
E01002167,Harrow ,803,79.0,152.0,133.0,202.0,21.0,6.0,6.0,7.0,71.0,126.0,6193.5,10.2
E01002168,Harrow ,654,76.0,141.0,125.0,143.0,15.0,4.0,5.0,8.0,51.0,86.0,5453.5,10.5
E01002169,Harrow ,774,56.0,164.0,141.0,174.0,35.0,4.0,4.0,6.0,56.0,134.0,6491.2,11.1
E01002170,Harrow ,623,53.0,108.0,109.0,187.0,20.0,11.0,6.0,6.0,42.0,81.0,6115.9,12.2
E01002171,Harrow ,833,77.0,161.0,137.0,222.0,20.0,2.0,3.0,10.0,63.0,138.0,6740.2,10.7
E01002172,Harrow ,770,124.0,113.0,135.0,205.0,27.0,9.0,4.0,10.0,59.0,84.0,8348.8,13.3
E01002173,Harrow ,904,148.0,145.0,146.0,240.0,38.0,7.0,9.0,9.0,66.0,96.0,8579.2,11.6
E01002174,Harrow ,810,87.0,150.0,122.0,217.0,28.0,16.0,9.0,11.0,81.0,89.0,8368.4,13.1
E01002175,Harrow ,755,78.0,144.0,109.0,208.0,35.0,5.0,7.0,14.0,54.0,101.0,8425.4,14.0
E01002176,Harrow ,916,127.0,115.0,168.0,220.0,25.0,6.0,12.0,12.0,81.0,150.0,9123.3,13.3
E01002177,Harrow ,672,87.0,111.0,136.0,160.0,34.0,14.0,5.0,6.0,54.0,65.0,6055.1,10.9
E01002178,Harrow ,812,108.0,140.0,129.0,226.0,39.0,15.0,8.0,10.0,46.0,91.0,7928.7,11.7
E01002179,Harrow ,1054,149.0,118.0,174.0,295.0,47.0,12.0,4.0,10.0,97.0,148.0,11072.6,13.7
E01002180,Harrow ,926,189.0,120.0,144.0,257.0,26.0,6.0,6.0,10.0,56.0,112.0,8005.1,10.6
E01002181,Harrow ,983,144.0,115.0,137.0,312.0,57.0,12.0,7.0,21.0,70.0,108.0,11555.3,14.4
E01002182,Harrow ,1019,188.0,90.0,143.0,319.0,51.0,17.0,5.0,15.0,87.0,104.0,11122.9,13.4
E01002183,Harrow ,993,155.0,145.0,181.0,221.0,40.0,16.0,3.0,12.0,69.0,151.0,8769.4,11.3
E01002184,Harrow ,889,146.0,118.0,161.0,214.0,39.0,6.0,7.0,6.0,72.0,120.0,7849.3,11.3
E01002185,Harrow ,645,58.0,104.0,132.0,123.0,86.0,3.0,4.0,6.0,60.0,69.0,6349.6,12.3
E01002186,Harrow ,800,59.0,109.0,124.0,141.0,169.0,7.0,5.0,6.0,93.0,87.0,9476.9,15.3
E01002187,Harrow ,841,50.0,106.0,128.0,154.0,171.0,9.0,5.0,12.0,126.0,80.0,9907.9,15.6
E01002188,Harrow ,779,71.0,96.0,84.0,159.0,153.0,9.0,5.0,10.0,141.0,51.0,9801.7,16.7
E01002189,Harrow ,832,74.0,105.0,102.0,211.0,129.0,10.0,11.0,13.0,111.0,66.0,10113.0,15.4
E01002190,Harrow ,794,67.0,99.0,126.0,140.0,155.0,10.0,9.0,13.0,112.0,63.0,9622.7,15.5
E01002191,Harrow ,949,77.0,141.0,159.0,200.0,145.0,10.0,9.0,14.0,100.0,94.0,12474.8,16.5
E01002192,Harrow ,711,46.0,84.0,103.0,144.0,143.0,9.0,6.0,11.0,113.0,52.0,8926.4,16.3
E01002193,Harrow ,889,90.0,130.0,119.0,215.0,120.0,9.0,6.0,12.0,108.0,80.0,9468.1,13.5
E01002194,Harrow ,830,79.0,117.0,93.0,167.0,144.0,6.0,13.0,16.0,123.0,72.0,10987.4,17.3
E01002195,Harrow ,767,83.0,98.0,124.0,170.0,107.0,14.0,4.0,9.0,98.0,60.0,8275.5,13.6
E01002196,Harrow ,911,69.0,128.0,154.0,201.0,130.0,13.0,14.0,11.0,114.0,77.0,10509.0,14.6
E01002197,Harrow ,644,62.0,128.0,106.0,168.0,17.0,6.0,5.0,6.0,60.0,86.0,5449.2,10.9
E01002198,Harrow ,895,97.0,120.0,142.0,234.0,35.0,9.0,6.0,10.0,65.0,177.0,7333.8,11.2
E01002199,Harrow ,719,64.0,134.0,113.0,197.0,32.0,11.0,5.0,9.0,62.0,92.0,6882.2,12.2
E01002200,Harrow ,789,71.0,110.0,147.0,217.0,29.0,9.0,3.0,4.0,65.0,134.0,6165.3,10.4
E01002201,Harrow ,857,72.0,179.0,152.0,217.0,39.0,16.0,10.0,15.0,55.0,102.0,9693.9,13.8
E01002202,Harrow ,884,70.0,142.0,158.0,222.0,48.0,8.0,9.0,12.0,62.0,153.0,8020.9,12.0
E01002203,Harrow ,818,87.0,117.0,133.0,232.0,24.0,11.0,6.0,9.0,72.0,127.0,8051.7,13.0
E01002204,Harrow ,823,92.0,99.0,172.0,208.0,74.0,9.0,4.0,14.0,61.0,90.0,8764.1,13.0
E01002206,Harrow ,666,69.0,117.0,124.0,152.0,54.0,5.0,5.0,10.0,63.0,67.0,6817.7,12.7
E01002207,Harrow ,801,80.0,123.0,168.0,191.0,64.0,6.0,5.0,13.0,62.0,89.0,8662.8,13.3
E01002208,Harrow ,621,52.0,93.0,92.0,148.0,63.0,8.0,6.0,6.0,93.0,60.0,6269.0,13.4
E01002209,Harrow ,816,78.0,139.0,142.0,190.0,82.0,10.0,6.0,6.0,83.0,80.0,8367.4,12.8
E01002210,Harrow ,789,69.0,126.0,139.0,223.0,92.0,10.0,3.0,12.0,60.0,55.0,9120.5,13.5
E01002211,Harrow ,652,61.0,124.0,153.0,146.0,26.0,3.0,3.0,9.0,41.0,86.0,6866.1,13.1
E01002212,Harrow ,798,85.0,139.0,149.0,230.0,47.0,6.0,1.0,4.0,53.0,84.0,6960.5,10.5
E01002213,Harrow ,1391,159.0,221.0,256.0,390.0,63.0,13.0,9.0,16.0,125.0,139.0,13113.3,11.6
E01002214,Harrow ,794,86.0,112.0,174.0,192.0,49.0,10.0,5.0,8.0,64.0,94.0,7548.0,11.9
E01002215,Harrow ,612,66.0,127.0,112.0,130.0,47.0,7.0,5.0,8.0,41.0,69.0,6237.6,12.4
E01002216,Harrow ,759,82.0,118.0,147.0,190.0,63.0,11.0,6.0,9.0,69.0,64.0,8199.1,13.1
E01002217,Harrow ,565,68.0,119.0,121.0,126.0,29.0,6.0,3.0,4.0,39.0,50.0,5015.6,10.5
E01002218,Harrow ,744,63.0,134.0,139.0,210.0,41.0,9.0,6.0,12.0,59.0,71.0,7622.2,12.4
E01002219,Harrow ,817,79.0,130.0,155.0,227.0,35.0,11.0,7.0,12.0,83.0,78.0,8359.9,12.7
E01002220,Harrow ,786,82.0,148.0,154.0,178.0,42.0,11.0,13.0,15.0,64.0,79.0,8803.4,13.7
E01002221,Harrow ,752,72.0,135.0,141.0,185.0,37.0,8.0,10.0,11.0,75.0,78.0,7730.2,12.9
E01002222,Harrow ,748,58.0,121.0,160.0,191.0,44.0,11.0,6.0,5.0,73.0,79.0,6729.5,11.3
E01002223,Harrow ,905,83.0,148.0,212.0,224.0,57.0,12.0,6.0,10.0,80.0,73.0,8587.3,11.4
E01002224,Harrow ,660,58.0,86.0,141.0,185.0,43.0,7.0,7.0,10.0,51.0,72.0,7067.6,13.2
E01002225,Harrow ,678,35.0,86.0,103.0,182.0,49.0,8.0,3.0,13.0,148.0,51.0,7269.3,15.2
E01002226,Harrow ,1041,49.0,127.0,171.0,290.0,61.0,21.0,8.0,10.0,199.0,105.0,9998.1,13.6
E01002227,Harrow ,664,49.0,104.0,133.0,163.0,45.0,5.0,2.0,9.0,63.0,91.0,6595.1,12.9
E01002228,Harrow ,971,51.0,130.0,228.0,261.0,56.0,20.0,7.0,21.0,126.0,71.0,12343.2,15.9
E01002229,Harrow ,764,46.0,110.0,121.0,237.0,35.0,11.0,8.0,11.0,90.0,95.0,9038.2,15.6
E01002230,Harrow ,876,53.0,143.0,165.0,233.0,59.0,8.0,8.0,7.0,106.0,94.0,8279.7,12.2
E01002231,Harrow ,843,108.0,130.0,178.0,215.0,42.0,6.0,10.0,6.0,70.0,78.0,7493.5,10.8
E01002232,Harrow ,894,132.0,153.0,155.0,205.0,62.0,3.0,6.0,9.0,76.0,93.0,7902.9,10.9
E01002233,Harrow ,874,121.0,106.0,193.0,232.0,38.0,8.0,8.0,12.0,66.0,90.0,9481.7,13.2
E01002234,Harrow ,787,133.0,132.0,136.0,202.0,34.0,10.0,4.0,9.0,49.0,78.0,7164.6,10.9
E01002235,Harrow ,721,110.0,110.0,140.0,163.0,18.0,8.0,3.0,10.0,50.0,109.0,6396.7,11.4
E01002236,Harrow ,873,149.0,127.0,139.0,233.0,33.0,8.0,9.0,10.0,52.0,113.0,8074.0,11.4
E01002237,Harrow ,872,151.0,97.0,122.0,290.0,34.0,6.0,11.0,7.0,66.0,88.0,8509.3,11.9
E01002238,Harrow ,922,112.0,101.0,134.0,299.0,67.0,6.0,8.0,9.0,84.0,102.0,10387.7,14.1
E01002239,Harrow ,790,92.0,101.0,128.0,203.0,64.0,10.0,7.0,10.0,84.0,91.0,8160.6,13.3
E01002240,Harrow ,814,129.0,83.0,111.0,288.0,34.0,6.0,4.0,6.0,77.0,76.0,8092.1,12.2
E01002241,Harrow ,740,77.0,126.0,136.0,172.0,58.0,7.0,6.0,12.0,87.0,59.0,8091.0,13.6
E01002242,Harrow ,941,98.0,130.0,178.0,272.0,82.0,6.0,6.0,12.0,80.0,77.0,10144.8,12.9
E01002243,Havering ,840,159.0,91.0,88.0,190.0,134.0,11.0,7.0,20.0,62.0,78.0,11772.7,16.8
E01002244,Havering ,887,140.0,92.0,117.0,238.0,120.0,14.0,7.0,11.0,54.0,94.0,11212.2,15.2
E01002245,Havering ,727,156.0,78.0,84.0,164.0,96.0,10.0,5.0,9.0,37.0,88.0,7859.2,13.1
E01002246,Havering ,792,170.0,108.0,98.0,186.0,59.0,10.0,12.0,11.0,53.0,85.0,7808.6,11.9
E01002247,Havering ,912,170.0,101.0,89.0,227.0,107.0,22.0,7.0,15.0,59.0,115.0,10524.7,14.3
E01002248,Havering ,622,137.0,65.0,82.0,127.0,53.0,12.0,8.0,8.0,54.0,76.0,5604.1,11.4
E01002249,Havering ,1024,313.0,129.0,99.0,176.0,119.0,18.0,9.0,14.0,50.0,97.0,10985.4,12.5
E01002250,Havering ,824,115.0,155.0,117.0,187.0,75.0,16.0,6.0,9.0,51.0,93.0,7793.9,11.5
E01002251,Havering ,620,100.0,108.0,81.0,143.0,54.0,6.0,3.0,6.0,38.0,81.0,5613.4,11.2
E01002252,Havering ,705,38.0,97.0,141.0,88.0,193.0,20.0,8.0,9.0,48.0,63.0,10161.9,17.1
E01002253,Havering ,714,52.0,68.0,111.0,104.0,222.0,20.0,3.0,5.0,71.0,58.0,9647.3,16.5
E01002254,Havering ,733,77.0,55.0,125.0,86.0,206.0,20.0,5.0,15.0,79.0,65.0,11629.5,19.7
E01002255,Havering ,745,63.0,107.0,70.0,144.0,204.0,16.0,5.0,15.0,45.0,76.0,12130.9,19.4
E01002256,Havering ,711,67.0,67.0,147.0,91.0,177.0,24.0,7.0,5.0,59.0,67.0,9000.9,15.4
E01002257,Havering ,740,71.0,62.0,84.0,83.0,268.0,8.0,6.0,6.0,82.0,70.0,10024.7,17.0
E01002258,Havering ,724,57.0,81.0,153.0,93.0,189.0,16.0,6.0,11.0,58.0,60.0,10365.4,17.1
E01002259,Havering ,712,41.0,72.0,127.0,112.0,200.0,22.0,7.0,6.0,57.0,68.0,9973.1,17.0
E01002260,Havering ,739,57.0,158.0,98.0,133.0,129.0,11.0,6.0,6.0,52.0,89.0,7590.1,12.7
E01002261,Havering ,816,71.0,157.0,100.0,178.0,125.0,19.0,4.0,11.0,60.0,91.0,10263.4,15.4
E01002262,Havering ,759,46.0,184.0,97.0,161.0,98.0,10.0,6.0,9.0,48.0,100.0,8775.5,14.4
E01002263,Havering ,864,57.0,186.0,113.0,163.0,153.0,15.0,7.0,7.0,64.0,99.0,9681.1,13.8
E01002264,Havering ,584,41.0,150.0,81.0,89.0,105.0,7.0,4.0,10.0,34.0,63.0,7841.1,16.1
E01002265,Havering ,788,52.0,178.0,113.0,132.0,163.0,12.0,6.0,9.0,46.0,77.0,9812.8,14.8
E01002266,Havering ,654,34.0,147.0,110.0,120.0,86.0,11.0,5.0,11.0,38.0,92.0,8495.9,16.2
E01002267,Havering ,686,35.0,166.0,115.0,141.0,91.0,8.0,2.0,6.0,38.0,84.0,7290.3,12.9
E01002268,Havering ,668,63.0,123.0,71.0,103.0,145.0,18.0,7.0,8.0,62.0,68.0,8432.2,15.7
E01002269,Havering ,859,60.0,186.0,76.0,146.0,181.0,15.0,9.0,18.0,72.0,96.0,11816.9,17.1
E01002270,Havering ,820,48.0,139.0,99.0,150.0,182.0,13.0,7.0,6.0,106.0,70.0,9496.6,14.7
E01002271,Havering ,706,50.0,132.0,83.0,83.0,153.0,14.0,7.0,9.0,110.0,65.0,7859.1,14.8
E01002272,Havering ,684,101.0,100.0,70.0,96.0,161.0,19.0,9.0,7.0,49.0,72.0,8277.1,14.7
E01002273,Havering ,636,50.0,87.0,92.0,113.0,120.0,21.0,11.0,7.0,80.0,55.0,7749.0,15.5
E01002274,Havering ,798,76.0,138.0,59.0,147.0,190.0,15.0,9.0,8.0,74.0,82.0,10712.5,16.7
E01002275,Havering ,660,45.0,105.0,66.0,118.0,139.0,10.0,3.0,8.0,89.0,77.0,7759.4,15.7
E01002276,Havering ,840,56.0,117.0,145.0,147.0,134.0,24.0,7.0,15.0,80.0,115.0,10722.8,16.6
E01002277,Havering ,668,64.0,108.0,127.0,93.0,123.0,11.0,7.0,12.0,40.0,83.0,8186.7,15.0
E01002278,Havering ,626,95.0,91.0,98.0,111.0,93.0,13.0,1.0,11.0,31.0,82.0,7596.9,14.8
E01002279,Havering ,705,85.0,92.0,141.0,112.0,117.0,17.0,7.0,16.0,44.0,74.0,9755.4,16.6
E01002280,Havering ,557,77.0,69.0,106.0,94.0,69.0,19.0,3.0,5.0,29.0,86.0,5651.2,12.8
E01002281,Havering ,622,86.0,73.0,102.0,113.0,114.0,11.0,11.0,10.0,33.0,69.0,8461.2,16.3
E01002282,Havering ,605,81.0,97.0,89.0,107.0,81.0,10.0,6.0,10.0,34.0,90.0,6786.9,14.1
E01002283,Havering ,611,96.0,75.0,97.0,84.0,107.0,12.0,8.0,9.0,47.0,76.0,7881.1,16.1
E01002284,Havering ,781,126.0,110.0,101.0,132.0,140.0,21.0,6.0,18.0,35.0,92.0,10602.6,16.2
E01002285,Havering ,613,43.0,125.0,69.0,98.0,123.0,16.0,5.0,9.0,51.0,74.0,7282.9,14.9
E01002286,Havering ,808,91.0,150.0,92.0,107.0,186.0,8.0,7.0,14.0,60.0,93.0,11113.3,17.0
E01002287,Havering ,799,77.0,142.0,108.0,144.0,150.0,15.0,6.0,6.0,52.0,99.0,8860.1,13.7
E01002288,Havering ,871,81.0,171.0,119.0,124.0,202.0,17.0,6.0,11.0,63.0,77.0,10547.6,14.4
E01002289,Havering ,782,94.0,111.0,93.0,120.0,195.0,19.0,5.0,9.0,56.0,80.0,9816.4,15.2
E01002290,Havering ,691,66.0,99.0,81.0,115.0,174.0,18.0,6.0,10.0,42.0,80.0,9646.2,17.0
E01002291,Havering ,839,74.0,119.0,102.0,138.0,229.0,16.0,8.0,5.0,60.0,88.0,10569.2,15.3
E01002292,Havering ,681,63.0,96.0,100.0,107.0,147.0,20.0,6.0,13.0,54.0,75.0,9963.4,18.0
E01002293,Havering ,877,80.0,111.0,108.0,143.0,230.0,23.0,7.0,10.0,60.0,105.0,11474.3,16.1
E01002294,Havering ,711,76.0,117.0,78.0,90.0,179.0,19.0,8.0,9.0,70.0,65.0,9472.2,16.4
E01002295,Havering ,792,51.0,135.0,79.0,152.0,209.0,8.0,3.0,10.0,54.0,91.0,10251.2,15.8
E01002296,Havering ,812,42.0,120.0,130.0,116.0,174.0,29.0,9.0,11.0,80.0,101.0,10249.5,16.2
E01002297,Havering ,635,98.0,124.0,71.0,117.0,94.0,4.0,6.0,12.0,38.0,71.0,8577.3,16.3
E01002298,Havering ,751,76.0,102.0,104.0,98.0,207.0,18.0,4.0,8.0,61.0,73.0,9672.9,15.7
E01002299,Havering ,813,116.0,132.0,114.0,114.0,162.0,19.0,10.0,19.0,37.0,90.0,11933.1,17.4
E01002300,Havering ,742,89.0,105.0,69.0,127.0,209.0,18.0,8.0,5.0,42.0,70.0,10056.9,16.0
E01002301,Havering ,772,41.0,166.0,105.0,151.0,109.0,15.0,5.0,9.0,68.0,103.0,8354.7,13.9
E01002302,Havering ,744,47.0,137.0,137.0,151.0,86.0,10.0,6.0,8.0,60.0,102.0,8229.2,14.1
E01002303,Havering ,865,62.0,172.0,137.0,157.0,137.0,13.0,7.0,7.0,62.0,111.0,9532.9,13.8
E01002304,Havering ,596,30.0,88.0,107.0,109.0,85.0,5.0,6.0,5.0,72.0,89.0,5880.8,13.5
E01002305,Havering ,698,34.0,139.0,123.0,131.0,85.0,14.0,4.0,8.0,63.0,97.0,7553.0,14.0
E01002306,Havering ,680,52.0,158.0,106.0,117.0,68.0,12.0,6.0,11.0,51.0,99.0,7460.6,14.1
E01002307,Havering ,759,49.0,179.0,135.0,153.0,89.0,14.0,7.0,6.0,35.0,92.0,7943.5,12.6
E01002308,Havering ,705,56.0,150.0,121.0,137.0,71.0,15.0,2.0,10.0,47.0,96.0,7726.3,13.7
E01002309,Havering ,646,69.0,125.0,85.0,110.0,102.0,19.0,4.0,8.0,46.0,78.0,7139.6,13.7
E01002310,Havering ,663,103.0,119.0,103.0,104.0,110.0,9.0,7.0,14.0,25.0,69.0,8311.7,14.6
E01002311,Havering ,701,94.0,145.0,79.0,112.0,104.0,23.0,6.0,12.0,49.0,77.0,8757.5,15.2
E01002312,Havering ,543,35.0,83.0,100.0,99.0,99.0,10.0,7.0,9.0,43.0,58.0,6883.8,15.6
E01002313,Havering ,620,67.0,116.0,86.0,106.0,100.0,14.0,8.0,7.0,37.0,79.0,6842.2,13.6
E01002314,Havering ,680,100.0,123.0,93.0,111.0,101.0,15.0,5.0,11.0,34.0,87.0,7728.4,13.8
E01002315,Havering ,664,82.0,124.0,86.0,111.0,94.0,17.0,9.0,8.0,50.0,83.0,7048.3,13.3
E01002316,Havering ,580,94.0,96.0,67.0,91.0,100.0,11.0,8.0,15.0,21.0,77.0,7830.0,16.2
E01002317,Havering ,798,154.0,114.0,85.0,110.0,164.0,8.0,6.0,9.0,59.0,89.0,8212.0,12.6
E01002318,Havering ,798,89.0,148.0,116.0,143.0,140.0,8.0,2.0,7.0,55.0,90.0,8659.6,13.3
E01002319,Havering ,796,161.0,97.0,103.0,120.0,132.0,18.0,5.0,11.0,62.0,87.0,8421.2,13.0
E01002320,Havering ,826,150.0,128.0,73.0,153.0,143.0,9.0,7.0,9.0,53.0,101.0,8467.4,12.6
E01002321,Havering ,829,108.0,117.0,87.0,130.0,188.0,19.0,7.0,5.0,84.0,84.0,9387.3,14.2
E01002322,Havering ,1102,141.0,221.0,130.0,227.0,157.0,17.0,10.0,12.0,75.0,112.0,11905.6,13.0
E01002323,Havering ,851,110.0,147.0,109.0,187.0,105.0,13.0,10.0,10.0,58.0,102.0,8856.1,12.8
E01002324,Havering ,675,113.0,134.0,86.0,102.0,104.0,8.0,1.0,8.0,38.0,81.0,6753.9,12.1
E01002325,Havering ,715,61.0,179.0,108.0,135.0,60.0,14.0,10.0,8.0,36.0,104.0,7697.4,13.4
E01002326,Havering ,683,57.0,155.0,94.0,147.0,74.0,5.0,7.0,7.0,54.0,83.0,7048.8,12.9
E01002327,Havering ,710,58.0,163.0,113.0,130.0,72.0,12.0,5.0,11.0,71.0,75.0,8102.1,14.4
E01002328,Havering ,851,127.0,140.0,103.0,185.0,99.0,14.0,4.0,16.0,67.0,96.0,8603.2,12.5
E01002329,Havering ,770,107.0,118.0,136.0,157.0,78.0,9.0,8.0,10.0,57.0,90.0,7521.0,12.1
E01002330,Havering ,834,89.0,139.0,131.0,219.0,77.0,10.0,4.0,9.0,58.0,98.0,8775.1,12.9
E01002331,Havering ,731,51.0,161.0,122.0,175.0,64.0,11.0,3.0,7.0,51.0,86.0,7522.5,12.7
E01002332,Havering ,781,56.0,178.0,133.0,130.0,100.0,11.0,5.0,5.0,63.0,100.0,7167.8,11.6
E01002333,Havering ,630,54.0,130.0,76.0,102.0,90.0,6.0,6.0,9.0,62.0,95.0,6359.9,13.4
E01002334,Havering ,817,126.0,120.0,101.0,110.0,146.0,19.0,5.0,9.0,85.0,96.0,8128.5,12.8
E01002335,Havering ,710,102.0,147.0,98.0,128.0,88.0,10.0,6.0,12.0,35.0,84.0,7643.7,12.9
E01002336,Havering ,704,88.0,108.0,92.0,117.0,107.0,11.0,3.0,8.0,69.0,101.0,7208.5,13.5
E01002337,Havering ,590,75.0,63.0,63.0,91.0,144.0,9.0,9.0,13.0,74.0,49.0,7873.4,16.9
E01002338,Havering ,680,110.0,106.0,75.0,129.0,93.0,8.0,0.0,11.0,45.0,103.0,6900.8,13.0
E01002339,Havering ,770,124.0,101.0,108.0,115.0,132.0,10.0,7.0,11.0,78.0,84.0,8263.4,13.6
E01002340,Havering ,698,126.0,93.0,72.0,131.0,112.0,14.0,7.0,12.0,51.0,80.0,8375.4,14.8
E01002341,Havering ,647,36.0,134.0,89.0,99.0,120.0,11.0,3.0,9.0,51.0,95.0,7245.9,14.5
E01002342,Havering ,718,86.0,64.0,175.0,134.0,107.0,13.0,5.0,14.0,35.0,85.0,8988.6,15.0
E01002343,Havering ,809,54.0,103.0,191.0,123.0,142.0,11.0,5.0,9.0,66.0,105.0,8679.1,13.6
E01002344,Havering ,702,40.0,76.0,162.0,130.0,115.0,19.0,5.0,10.0,57.0,88.0,8260.4,14.8
E01002345,Havering ,769,83.0,53.0,183.0,191.0,79.0,14.0,2.0,15.0,54.0,95.0,9680.1,15.6
E01002346,Havering ,745,69.0,72.0,202.0,161.0,101.0,10.0,5.0,10.0,55.0,60.0,8706.1,13.8
E01002347,Havering ,669,53.0,52.0,177.0,114.0,110.0,12.0,7.0,15.0,48.0,81.0,9250.5,17.1
E01002348,Havering ,737,50.0,91.0,160.0,109.0,135.0,8.0,5.0,13.0,49.0,117.0,8922.4,15.6
E01002349,Havering ,761,69.0,80.0,176.0,118.0,132.0,16.0,6.0,12.0,47.0,105.0,8574.0,14.1
E01002350,Havering ,726,145.0,81.0,68.0,136.0,122.0,13.0,12.0,14.0,55.0,80.0,8704.7,14.7
E01002351,Havering ,860,161.0,92.0,93.0,152.0,171.0,21.0,10.0,16.0,59.0,85.0,10921.6,15.3
E01002352,Havering ,879,178.0,121.0,74.0,117.0,204.0,14.0,7.0,6.0,60.0,98.0,9270.5,12.9
E01002353,Havering ,971,151.0,101.0,110.0,179.0,186.0,14.0,6.0,19.0,90.0,115.0,11676.4,15.2
E01002354,Havering ,675,90.0,75.0,72.0,105.0,176.0,8.0,13.0,8.0,64.0,64.0,8644.3,15.8
E01002355,Havering ,758,117.0,84.0,102.0,95.0,197.0,9.0,5.0,9.0,52.0,88.0,9070.0,14.7
E01002356,Havering ,1034,219.0,110.0,111.0,235.0,127.0,24.0,8.0,27.0,71.0,102.0,14820.3,17.2
E01002358,Havering ,1014,180.0,87.0,125.0,177.0,220.0,18.0,18.0,20.0,62.0,107.0,13541.9,16.0
E01002359,Havering ,662,61.0,111.0,71.0,122.0,149.0,13.0,5.0,6.0,48.0,76.0,8147.6,15.1
E01002360,Havering ,620,57.0,115.0,80.0,90.0,128.0,7.0,6.0,7.0,59.0,71.0,7865.9,16.1
E01002361,Havering ,862,104.0,137.0,96.0,125.0,199.0,13.0,8.0,13.0,66.0,101.0,10621.2,15.3
E01002362,Havering ,764,63.0,91.0,97.0,99.0,209.0,14.0,9.0,10.0,76.0,96.0,10040.3,17.0
E01002363,Havering ,732,95.0,150.0,91.0,100.0,120.0,18.0,2.0,6.0,60.0,90.0,7133.8,12.3
E01002364,Havering ,666,64.0,124.0,96.0,102.0,137.0,11.0,6.0,6.0,52.0,68.0,7215.5,13.2
E01002365,Havering ,659,54.0,144.0,89.0,113.0,117.0,9.0,10.0,8.0,38.0,77.0,8258.6,15.2
E01002366,Havering ,768,80.0,128.0,99.0,119.0,167.0,14.0,5.0,9.0,42.0,105.0,9247.2,14.9
E01002367,Havering ,822,83.0,162.0,79.0,116.0,194.0,14.0,13.0,13.0,62.0,86.0,10236.8,15.2
E01002368,Havering ,661,67.0,85.0,157.0,142.0,34.0,13.0,8.0,13.0,47.0,95.0,7539.8,14.5
E01002369,Havering ,856,81.0,114.0,197.0,182.0,88.0,17.0,8.0,11.0,64.0,94.0,9218.0,13.2
E01002370,Havering ,914,98.0,111.0,202.0,188.0,112.0,13.0,3.0,16.0,60.0,111.0,11236.9,15.1
E01002371,Havering ,742,58.0,106.0,197.0,137.0,81.0,12.0,6.0,8.0,50.0,87.0,8373.2,13.8
E01002372,Havering ,777,66.0,158.0,142.0,145.0,104.0,7.0,6.0,6.0,53.0,90.0,8005.3,12.6
E01002373,Havering ,742,57.0,117.0,163.0,135.0,86.0,12.0,3.0,14.0,52.0,103.0,8286.3,14.1
E01002374,Havering ,737,53.0,84.0,171.0,144.0,101.0,10.0,11.0,12.0,45.0,106.0,9231.5,15.8
E01002375,Havering ,680,49.0,160.0,146.0,113.0,65.0,9.0,4.0,7.0,45.0,82.0,6617.7,12.0
E01002376,Havering ,766,75.0,91.0,82.0,112.0,212.0,21.0,7.0,8.0,71.0,87.0,9540.9,15.7
E01002377,Havering ,856,75.0,145.0,92.0,150.0,200.0,14.0,11.0,9.0,65.0,95.0,10443.8,15.0
E01002378,Havering ,872,74.0,151.0,91.0,154.0,183.0,17.0,9.0,13.0,84.0,96.0,10960.8,15.8
E01002379,Havering ,748,100.0,85.0,66.0,113.0,197.0,7.0,9.0,7.0,91.0,73.0,9126.3,15.6
E01002380,Havering ,1138,117.0,143.0,111.0,201.0,340.0,31.0,12.0,11.0,71.0,101.0,15968.4,16.5
E01002381,Havering ,773,90.0,128.0,79.0,129.0,171.0,6.0,4.0,7.0,63.0,96.0,8418.0,13.7
E01002382,Havering ,953,143.0,96.0,108.0,135.0,263.0,15.0,6.0,6.0,72.0,109.0,11082.8,14.4
E01002383,Havering ,818,74.0,124.0,90.0,131.0,210.0,21.0,10.0,12.0,62.0,84.0,10765.2,16.0
E01002384,Havering ,750,76.0,47.0,129.0,91.0,227.0,22.0,3.0,8.0,82.0,65.0,10244.5,17.0
E01002385,Havering ,787,46.0,75.0,151.0,106.0,196.0,10.0,4.0,9.0,113.0,77.0,10722.3,18.0
