LSOA11CD,Borough,All categories: Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E01000074,Barking and Dagenham ,641,38.0,142.0,113.0,180.0,29.0,12.0,3.0,8.0,32.0,84.0,6955.3,13.2
E01000075,Barking and Dagenham ,678,66.0,156.0,93.0,182.0,31.0,11.0,3.0,11.0,44.0,81.0,7045.8,12.7
E01000076,Barking and Dagenham ,740,61.0,179.0,126.0,174.0,38.0,10.0,5.0,14.0,29.0,104.0,7839.0,12.9
E01000077,Barking and Dagenham ,608,47.0,138.0,96.0,146.0,31.0,8.0,3.0,14.0,29.0,96.0,7835.7,16.2
E01000078,Barking and Dagenham ,611,71.0,140.0,69.0,154.0,29.0,10.0,8.0,6.0,43.0,81.0,6125.9,12.6
E01000079,Barking and Dagenham ,575,67.0,132.0,73.0,151.0,28.0,9.0,2.0,9.0,23.0,81.0,6356.1,13.5
E01000080,Barking and Dagenham ,612,74.0,141.0,63.0,159.0,34.0,8.0,4.0,11.0,29.0,89.0,6359.7,12.9
E01000081,Barking and Dagenham ,701,96.0,150.0,97.0,150.0,44.0,11.0,4.0,8.0,36.0,105.0,6435.2,11.5
E01000082,Barking and Dagenham ,670,78.0,161.0,97.0,148.0,52.0,10.0,6.0,8.0,29.0,81.0,6658.1,11.9
E01000083,Barking and Dagenham ,671,61.0,156.0,87.0,179.0,34.0,10.0,7.0,7.0,46.0,84.0,6705.3,12.4
E01000084,Barking and Dagenham ,561,87.0,115.0,68.0,125.0,45.0,8.0,3.0,10.0,30.0,70.0,6372.8,13.8
E01000085,Barking and Dagenham ,630,65.0,97.0,103.0,149.0,51.0,10.0,6.0,7.0,48.0,94.0,6953.5,14.2
E01000086,Barking and Dagenham ,602,91.0,101.0,99.0,150.0,51.0,8.0,4.0,7.0,32.0,59.0,6189.1,12.1
E01000087,Barking and Dagenham ,559,73.0,82.0,102.0,139.0,32.0,7.0,6.0,6.0,39.0,73.0,5032.8,11.3
E01000088,Barking and Dagenham ,753,74.0,84.0,118.0,225.0,78.0,10.0,7.0,17.0,50.0,90.0,9445.0,15.4
E01000089,Barking and Dagenham ,722,90.0,85.0,145.0,190.0,62.0,7.0,5.0,5.0,51.0,82.0,6854.4,11.6
E01000090,Barking and Dagenham ,664,71.0,73.0,114.0,166.0,50.0,13.0,8.0,9.0,50.0,110.0,7662.2,15.2
E01000091,Barking and Dagenham ,585,57.0,98.0,84.0,163.0,30.0,12.0,7.0,11.0,32.0,91.0,6685.4,14.5
E01000092,Barking and Dagenham ,1056,103.0,122.0,185.0,313.0,54.0,10.0,11.0,19.0,100.0,139.0,10940.3,13.4
E01000093,Barking and Dagenham ,576,65.0,97.0,113.0,124.0,18.0,14.0,2.0,8.0,53.0,82.0,5367.4,12.2
E01000094,Barking and Dagenham ,626,34.0,81.0,102.0,215.0,45.0,8.0,5.0,12.0,48.0,76.0,7129.0,14.2
E01000095,Barking and Dagenham ,671,49.0,107.0,102.0,212.0,45.0,10.0,4.0,8.0,37.0,97.0,7511.7,14.0
E01000096,Barking and Dagenham ,619,36.0,153.0,94.0,146.0,37.0,5.0,4.0,15.0,45.0,84.0,7050.4,14.4
E01000097,Barking and Dagenham ,642,65.0,142.0,69.0,157.0,33.0,13.0,5.0,14.0,45.0,99.0,7499.8,15.1
E01000098,Barking and Dagenham ,679,86.0,154.0,77.0,177.0,30.0,10.0,2.0,11.0,41.0,91.0,7278.4,13.3
E01000099,Barking and Dagenham ,726,100.0,152.0,95.0,191.0,33.0,18.0,5.0,9.0,35.0,88.0,7450.8,12.4
E01000100,Barking and Dagenham ,640,70.0,131.0,87.0,154.0,43.0,6.0,6.0,14.0,38.0,91.0,6869.2,13.4
E01000101,Barking and Dagenham ,646,97.0,113.0,120.0,149.0,35.0,13.0,4.0,5.0,43.0,67.0,6076.1,11.3
E01000102,Barking and Dagenham ,616,63.0,143.0,56.0,165.0,34.0,8.0,8.0,11.0,38.0,90.0,6723.6,13.8
E01000103,Barking and Dagenham ,670,62.0,114.0,99.0,151.0,78.0,13.0,2.0,15.0,36.0,100.0,8492.3,15.9
E01000104,Barking and Dagenham ,678,74.0,128.0,97.0,142.0,65.0,11.0,4.0,12.0,42.0,103.0,8556.4,16.1
E01000105,Barking and Dagenham ,784,100.0,144.0,112.0,184.0,65.0,14.0,7.0,15.0,36.0,107.0,8745.1,13.6
E01000106,Barking and Dagenham ,751,82.0,118.0,100.0,213.0,65.0,13.0,7.0,15.0,44.0,94.0,9106.2,14.9
E01000107,Barking and Dagenham ,693,59.0,125.0,110.0,146.0,83.0,13.0,1.0,17.0,40.0,99.0,8612.6,15.5
E01000108,Barking and Dagenham ,746,88.0,128.0,109.0,185.0,81.0,15.0,10.0,8.0,40.0,82.0,8024.9,12.9
E01000109,Barking and Dagenham ,740,85.0,132.0,126.0,176.0,52.0,7.0,4.0,10.0,46.0,102.0,7804.9,13.2
E01000110,Barking and Dagenham ,671,57.0,116.0,97.0,187.0,68.0,12.0,1.0,7.0,52.0,74.0,7004.1,12.9
E01000111,Barking and Dagenham ,757,89.0,112.0,121.0,193.0,56.0,13.0,14.0,12.0,50.0,97.0,8372.7,13.7
E01000112,Barking and Dagenham ,876,85.0,125.0,130.0,241.0,90.0,15.0,5.0,16.0,53.0,116.0,10831.4,15.3
E01000113,Barking and Dagenham ,770,88.0,121.0,107.0,250.0,75.0,10.0,6.0,12.0,40.0,61.0,9152.0,13.7
E01000114,Barking and Dagenham ,895,98.0,149.0,142.0,208.0,86.0,13.0,7.0,17.0,58.0,117.0,10903.3,15.1
E01000115,Barnet ,704,68.0,97.0,118.0,230.0,14.0,11.0,2.0,8.0,83.0,73.0,6442.7,11.8
E01000116,Barnet ,866,97.0,107.0,143.0,270.0,14.0,4.0,3.0,14.0,106.0,108.0,7685.5,11.8
E01000117,Barnet ,879,76.0,129.0,140.0,260.0,26.0,13.0,4.0,3.0,124.0,104.0,7425.0,11.4
E01000118,Barnet ,959,98.0,140.0,181.0,297.0,20.0,11.0,7.0,4.0,100.0,101.0,8137.6,10.7
