LSOA11CD,Borough,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E01000109,Barking and Dagenham ,1190,832.0,168.0,438.0,5.0,24.0,27.0,47.0,83.0,40.0,358.0,119.0,89.0,78.0,42.0,30.0
E01000110,Barking and Dagenham ,1026,736.0,131.0,410.0,4.0,13.0,24.0,62.0,54.0,38.0,290.0,120.0,63.0,54.0,38.0,15.0
E01000111,Barking and Dagenham ,1256,856.0,160.0,442.0,6.0,12.0,29.0,71.0,88.0,48.0,400.0,132.0,92.0,98.0,48.0,30.0
E01000112,Barking and Dagenham ,1357,975.0,161.0,544.0,7.0,20.0,32.0,82.0,88.0,41.0,382.0,109.0,94.0,86.0,44.0,49.0
E01000113,Barking and Dagenham ,1196,862.0,159.0,490.0,5.0,11.0,23.0,52.0,83.0,39.0,334.0,118.0,68.0,76.0,34.0,38.0
E01000114,Barking and Dagenham ,1450,993.0,174.0,544.0,7.0,23.0,36.0,80.0,65.0,64.0,457.0,156.0,84.0,105.0,54.0,58.0
E01000115,Barnet ,1066,743.0,147.0,333.0,12.0,61.0,53.0,71.0,32.0,34.0,323.0,125.0,86.0,63.0,23.0,26.0
E01000116,Barnet ,1228,913.0,191.0,456.0,6.0,40.0,51.0,96.0,37.0,36.0,315.0,161.0,62.0,46.0,23.0,23.0
E01000117,Barnet ,1314,955.0,155.0,506.0,8.0,36.0,60.0,96.0,68.0,26.0,359.0,162.0,83.0,58.0,35.0,21.0
E01000118,Barnet ,1390,1047.0,203.0,533.0,15.0,39.0,54.0,84.0,79.0,40.0,343.0,141.0,85.0,59.0,32.0,26.0
E01000119,Barnet ,1241,844.0,140.0,444.0,6.0,47.0,55.0,81.0,49.0,22.0,397.0,187.0,94.0,59.0,31.0,26.0
E01000120,Barnet ,1081,737.0,129.0,374.0,14.0,38.0,45.0,69.0,32.0,36.0,344.0,147.0,95.0,55.0,19.0,28.0
E01000121,Barnet ,988,625.0,135.0,303.0,3.0,9.0,28.0,47.0,74.0,26.0,363.0,71.0,99.0,78.0,80.0,35.0
E01000122,Barnet ,1088,788.0,129.0,426.0,10.0,46.0,41.0,78.0,37.0,21.0,300.0,128.0,86.0,38.0,25.0,23.0
E01000123,Barnet ,1283,978.0,160.0,517.0,9.0,32.0,58.0,93.0,73.0,36.0,305.0,103.0,67.0,56.0,36.0,43.0
E01000124,Barnet ,1206,865.0,141.0,470.0,5.0,20.0,45.0,71.0,73.0,40.0,341.0,100.0,83.0,76.0,44.0,38.0
E01000125,Barnet ,1957,1320.0,242.0,674.0,21.0,25.0,65.0,87.0,121.0,85.0,637.0,125.0,174.0,127.0,133.0,78.0
E01000126,Barnet ,1485,1014.0,177.0,469.0,9.0,15.0,49.0,83.0,118.0,94.0,471.0,57.0,167.0,116.0,76.0,55.0
E01000127,Barnet ,1074,747.0,130.0,371.0,1.0,16.0,34.0,76.0,73.0,46.0,327.0,72.0,88.0,72.0,60.0,35.0
E01000128,Barnet ,1283,897.0,156.0,442.0,6.0,25.0,45.0,93.0,70.0,60.0,386.0,106.0,109.0,88.0,38.0,45.0
E01000129,Barnet ,1252,810.0,168.0,356.0,7.0,19.0,44.0,72.0,73.0,71.0,442.0,94.0,100.0,93.0,67.0,88.0
E01000130,Barnet ,1183,820.0,149.0,412.0,11.0,20.0,44.0,61.0,81.0,42.0,363.0,74.0,105.0,67.0,72.0,45.0
E01000131,Barnet ,1342,903.0,165.0,440.0,4.0,36.0,50.0,96.0,53.0,59.0,439.0,135.0,108.0,83.0,65.0,48.0
