LSOA21CD,All categories: Highest level of qualification_weighted,Highest level of qualification: Level 4 qualifications and above_weighted
E01000446,1255.0,264.0
E01000447,1248.0,372.0
E01000448,1088.0,343.0
E01000449,1252.0,422.0
E01000450,1372.0,264.0
E01000451,1340.0,257.0
E01000452,1081.0,209.0
E01000453,1148.0,195.0
E01000454,1280.0,229.0
E01000455,1350.0,288.0
E01000456,1098.0,213.0
E01000457,1552.0,429.0
E01000458,1239.0,411.0
E01000459,1407.0,390.0
E01000460,1134.0,347.0
E01000461,1369.0,347.0
E01000462,1425.0,314.0
E01000463,1003.0,249.0
E01000464,1093.0,258.0
E01000465,1209.0,268.0
E01000466,1204.0,327.0
E01000467,1176.0,373.0
E01000468,1825.0,641.0
E01000469,1255.0,388.0
E01000470,1047.0,227.0
E01000471,1309.0,287.0
E01000472,1118.0,437.0
E01000473,1569.0,427.0
E01000474,1575.0,363.0
E01000475,1609.0,475.0
E01000476,1353.0,310.0
E01000477,1478.0,336.0
E01000478,1342.0,335.0
E01000479,1359.0,548.0
E01000480,1442.0,621.0
E01000481,1233.0,473.0
E01000483,1293.0,330.0
E01000484,934.0,239.0
E01000485,1133.0,319.0
E01000486,1352.0,542.0
E01000487,1550.0,599.0
E01000488,1225.0,463.0
E01000489,1302.0,551.0
E01000490,1389.0,776.0
E01000491,1583.0,670.0
E01000492,1101.0,452.0
E01000493,1342.0,575.0
E01000494,1497.0,736.0
E01000495,1397.0,650.0
E01000497,1404.0,399.0
E01000498,1192.0,247.0
E01000499,1274.0,330.0
E01000501,1375.0,355.0
E01000502,1038.0,280.0
E01000503,1581.0,441.0
E01000504,1422.0,623.0
E01000505,1328.0,464.0
E01000506,1302.0,366.0
E01000507,1349.0,484.0
E01000508,1474.0,282.0
E01000509,1169.0,268.0
E01000510,1298.0,327.0
E01000511,1219.0,375.0
E01000512,1426.0,611.0
E01000513,1319.0,367.0
E01000514,1177.0,352.0
E01000515,1342.0,349.0
E01000516,1382.0,355.0
E01000517,1323.0,478.0
E01000518,1300.0,352.0
E01000519,1486.0,444.0
E01000520,1311.0,387.0
E01000521,1649.0,333.0
E01000522,1403.0,302.0
E01000523,1959.0,430.0
E01000524,1848.0,439.0
E01000525,1491.0,337.0
E01000526,1683.0,302.0
E01000527,1579.0,349.0
E01000528,1111.0,237.0
E01000530,1528.0,643.0
E01000531,1703.0,648.0
E01000532,1388.0,603.0
E01000533,1751.0,429.0
E01000534,1404.0,541.0
E01000535,1737.0,591.0
E01000536,1324.0,594.0
E01000538,1275.0,553.0
E01000539,1305.0,552.0
E01000540,1264.0,588.0
E01000541,1149.0,467.0
E01000543,1316.0,493.0
E01000544,1377.0,432.0
E01000545,1598.0,784.0
E01000546,1394.0,705.0
E01000547,1489.0,668.0
E01000548,1810.0,798.0
E01000549,1613.0,915.0
E01000550,1604.0,567.0
E01000551,1603.0,386.0
E01000552,1341.0,267.0
E01000553,1715.0,546.0
E01000554,1463.0,514.0
E01000555,1221.0,570.0
E01000556,1566.0,555.0
E01000557,1599.0,729.0
E01000558,1297.0,651.0
E01000559,1264.0,613.0
E01000560,1411.0,812.0
E01000561,1498.0,708.0
E01000562,1274.0,573.0
E01000563,1256.0,504.0
E01000564,1244.0,390.0
E01000565,1183.0,443.0
E01000566,1261.0,450.0
E01000567,1105.0,417.0
E01000568,2059.0,996.0
E01000569,1291.0,523.0
E01000570,1248.0,337.0
E01000571,1387.0,485.0
E01000572,1178.0,464.0
E01000573,1262.0,439.0
E01000574,1075.0,398.0
E01000575,1501.0,581.0
E01000576,1370.0,524.0
E01000577,1746.0,536.0
E01000578,1546.0,591.0
E01000579,1410.0,597.0
E01000580,1601.0,852.0
E01000581,1223.0,610.0
E01000582,1461.0,803.0
E01000583,1929.0,1010.0
E01000584,1386.0,559.0
E01000585,1461.0,645.0
E01000586,2062.0,959.0
E01000587,1376.0,380.0
E01000589,1573.0,477.0
E01000590,1453.0,486.0
E01000591,1696.0,556.0
E01000592,1338.0,407.0
E01000593,1667.0,533.0
E01000594,1352.0,438.0
E01000595,1172.0,236.0
E01000596,1216.0,191.0
E01000599,983.0,263.0
E01000601,1002.0,194.0
E01000602,1123.0,195.0
E01000603,1079.0,276.0
E01000604,1286.0,239.0
E01000605,1204.0,212.0
E01000606,1344.0,369.0
E01000607,1763.0,571.0
E01000608,1767.0,633.0
E01000609,1617.0,492.0
E01000610,1541.0,476.0
E01000611,1160.0,391.0
E01000612,1340.0,412.0
E01000613,1329.0,490.0
E01000615,1284.0,411.0
E01000616,1461.0,478.0
E01000617,1458.0,413.0
E01000618,1289.0,352.0
E01000619,1333.0,362.0
E01000620,1438.0,389.0
E01000621,1444.0,373.0
E01000622,1260.0,306.0
E01000623,1414.0,387.0
E01000624,1351.0,365.0
E01000625,1220.0,345.0
E01000626,1112.0,202.0
E01000627,1443.0,308.0
E01000628,1454.0,374.0
E01000629,1563.0,381.0
E01000630,1812.0,536.0
E01000631,1562.0,490.0
E01000632,1728.0,449.0
E01000633,1664.0,510.0
E01000634,1814.0,515.0
E01000636,1506.0,386.0
E01000637,1380.0,471.0
E01000638,1522.0,374.0
E01000639,1508.0,664.0
E01000640,1679.0,470.0
E01000641,1516.0,448.0
E01000642,1791.0,772.0
E01000643,1632.0,434.0
E01000644,1572.0,566.0
E01000645,1132.0,549.0
E01000646,1370.0,571.0
E01000647,1229.0,440.0
E01000648,1342.0,520.0
E01000649,1611.0,739.0
E01000650,1527.0,684.0
E01000651,1344.0,498.0
E01000652,1326.0,443.0
E01000653,1315.0,523.0
E01000654,1005.0,219.0
E01000655,1024.0,220.0
E01000656,1150.0,288.0
E01000657,1283.0,286.0
E01000658,1158.0,264.0
E01000659,1154.0,239.0
E01000661,1200.0,219.0
E01000662,1384.0,338.0
E01000663,1258.0,305.0
E01000664,1253.0,284.0
E01000665,1447.0,394.0
E01000666,1542.0,541.0
E01000667,1304.0,413.0
E01000668,1283.0,446.0
E01000669,1307.0,445.0
E01000670,1594.0,793.0
E01000671,1426.0,502.0
E01000672,1249.0,500.0
E01000673,1235.0,501.0
E01000674,1324.0,521.0
E01000676,1439.0,595.0
E01000677,1374.0,617.0
E01000678,1337.0,524.0
E01000679,1268.0,417.0
E01000680,1336.0,479.0
E01000681,1350.0,420.0
E01000682,1239.0,387.0
E01000683,1295.0,431.0
E01000684,1578.0,576.0
E01000685,1239.0,343.0
E01000686,1255.0,402.0
E01000687,1314.0,418.0
E01000688,1102.0,428.0
E01000689,1132.0,298.0
E01000690,1119.0,398.0
E01000691,1160.0,324.0
E01000692,1264.0,463.0
E01000693,1309.0,435.0
E01000694,1325.0,567.0
E01000695,1228.0,500.0
E01000696,1253.0,583.0
E01000697,1368.0,700.0
E01000698,1006.0,358.0
E01000699,1146.0,408.0
E01000700,1201.0,483.0
E01000701,1078.0,383.0
E01000702,1090.0,410.0
E01000703,1275.0,605.0
E01000704,1130.0,346.0
E01000705,1036.0,368.0
E01000706,1056.0,324.0
E01000707,1061.0,535.0
E01000708,1227.0,422.0
E01000709,1181.0,500.0
E01000710,1416.0,684.0
E01000711,1571.0,734.0
E01000712,1448.0,695.0
E01000713,1466.0,699.0
E01000714,1641.0,753.0
E01000715,1459.0,681.0
E01000716,1331.0,583.0
E01000717,1428.0,636.0
E01000718,1605.0,550.0
E01000719,1439.0,295.0
E01000720,1188.0,236.0
E01000721,956.0,134.0
E01000722,1291.0,240.0
E01000723,1086.0,184.0
E01000724,1245.0,209.0
E01000725,1269.0,273.0
E01000726,1078.0,242.0
E01000727,1280.0,326.0
E01000728,1187.0,215.0
E01000729,1336.0,179.0
E01000730,1213.0,176.0
E01000731,1037.0,184.0
E01000732,1187.0,319.0
E01000733,1270.0,245.0
E01000734,1039.0,286.0
E01000735,1122.0,174.0
E01000736,1200.0,222.0
E01000737,1084.0,212.0
E01000738,1205.0,232.0
E01000739,1114.0,160.0
E01000741,1322.0,558.0
E01000742,1646.0,724.0
E01000743,1406.0,413.0
E01000744,1188.0,222.0
E01000745,1437.0,636.0
E01000746,1529.0,717.0
E01000747,1497.0,406.0
E01000748,1365.0,349.0
E01000749,1312.0,368.0
E01000750,1214.0,231.0
E01000751,1573.0,498.0
E01000752,1342.0,361.0
E01000753,1478.0,512.0
E01000754,1347.0,403.0
E01000755,1217.0,411.0
E01000756,1258.0,404.0
E01000757,1255.0,435.0
E01000758,1222.0,437.0
E01000759,1221.0,363.0
E01000760,1228.0,332.0
E01000761,1216.0,328.0
E01000762,1365.0,539.0
E01000763,1147.0,320.0
E01000764,1279.0,348.0
E01000765,1360.0,450.0
E01000766,1357.0,430.0
E01000767,1274.0,441.0
E01000768,1271.0,493.0
E01000769,1147.0,340.0
E01000770,1231.0,577.0
E01000771,1305.0,527.0
E01000772,1279.0,555.0
E01000773,1201.0,407.0
E01000774,1164.0,347.0
E01000775,1732.0,592.0
E01000777,1219.0,356.0
E01000778,1228.0,306.0
E01000779,1068.0,359.0
E01000780,1169.0,274.0
E01000781,1072.0,171.0
E01000782,1094.0,169.0
E01000783,1110.0,175.0
E01000784,1162.0,359.0
E01000785,1074.0,208.0
E01000786,1243.0,356.0
E01000787,1190.0,226.0
E01000788,1242.0,316.0
E01000789,1174.0,179.0
E01000790,1647.0,615.0
E01000791,1213.0,253.0
E01000792,926.0,230.0
E01000793,1341.0,475.0
E01000794,1303.0,430.0
E01000795,1098.0,270.0
E01000796,1194.0,262.0
E01000797,1273.0,614.0
E01000798,1153.0,251.0
E01000799,1320.0,494.0
E01000800,1269.0,444.0
E01000801,1143.0,345.0
E01000802,1387.0,599.0
E01000803,1284.0,566.0
E01000804,1163.0,532.0
E01000805,1231.0,479.0
E01000806,1305.0,423.0
E01000807,1211.0,455.0
E01000808,1268.0,464.0
E01000809,1234.0,376.0
E01000810,1234.0,490.0
E01000811,1086.0,343.0
E01000812,1279.0,456.0
E01000813,1313.0,395.0
E01000814,1290.0,542.0
E01000815,1232.0,487.0
E01000816,1200.0,340.0
E01000818,1187.0,363.0
E01000819,1314.0,329.0
E01000820,1152.0,457.0
E01000822,1322.0,489.0
E01000823,1357.0,626.0
E01000824,951.0,377.0
E01000825,1310.0,489.0
E01000826,1283.0,560.0
E01000827,1410.0,579.0
E01000828,1324.0,535.0
E01000829,1375.0,576.0
E01000830,1227.0,575.0
E01000831,1385.0,643.0
E01000832,1195.0,415.0
E01000833,1100.0,386.0
E01000834,1036.0,297.0
E01000835,1272.0,371.0
E01000836,1093.0,394.0
E01000837,1212.0,384.0
E01000838,1199.0,356.0
E01000839,1204.0,427.0
E01000840,1350.0,430.0
E01000841,1268.0,419.0
E01000842,1257.0,877.0
E01000843,1370.0,866.0
E01000844,1483.0,1052.0
E01000845,1256.0,803.0
E01000846,1126.0,477.0
E01000847,1258.0,580.0
E01000848,1364.0,920.0
E01000849,1372.0,943.0
E01000850,1612.0,931.0
E01000851,2247.0,871.0
E01000853,1383.0,519.0
E01000855,1713.0,1105.0
E01000856,1294.0,497.0
E01000857,1201.0,704.0
E01000858,1503.0,534.0
E01000859,1347.0,930.0
E01000860,1144.0,670.0
E01000861,1384.0,669.0
E01000862,1465.0,1010.0
E01000863,1336.0,740.0
E01000866,1717.0,866.0
E01000867,1301.0,544.0
E01000868,1049.0,353.0
E01000869,1805.0,988.0
E01000870,1424.0,698.0
E01000871,1352.0,782.0
E01000872,1668.0,861.0
E01000873,1386.0,908.0
E01000874,1332.0,899.0
E01000875,1453.0,815.0
E01000876,1427.0,633.0
E01000877,1356.0,870.0
E01000878,1432.0,653.0
E01000879,1220.0,732.0
E01000880,1212.0,825.0
E01000881,1233.0,768.0
E01000882,1269.0,916.0
E01000883,1144.0,734.0
E01000884,1132.0,739.0
E01000885,1197.0,678.0
E01000886,1173.0,729.0
E01000887,1264.0,770.0
E01000888,1279.0,756.0
