LSOA21CD,All categories: Distance travelled to work_weighted,Less than 2km_weighted,2km to less than 5km_weighted,5km to less than 10km_weighted,10km to less than 20km_weighted,20km to less than 30km_weighted,30km to less than 40km_weighted,40km to less than 60km_weighted,60km and over_weighted,Work mainly at or from home_weighted,Other_weighted,Total distance (km)_weighted,Average distance (km)_weighted
E01000142,1213.0,121.0,144.0,453.0,159.0,20.0,9.0,10.0,15.0,110.0,172.0,10365.0,11.0
E01000143,591.0,45.0,106.0,205.0,61.0,9.0,1.0,2.0,8.0,58.0,96.0,4618.0,11.0
E01000144,839.0,56.0,88.0,322.0,134.0,10.0,9.0,6.0,2.0,108.0,104.0,5798.0,9.0
E01000145,625.0,65.0,68.0,199.0,75.0,10.0,4.0,4.0,4.0,118.0,78.0,4203.0,10.0
E01000146,942.0,59.0,96.0,362.0,111.0,13.0,6.0,6.0,11.0,143.0,135.0,6692.0,10.0
E01000147,848.0,112.0,127.0,139.0,189.0,20.0,5.0,9.0,14.0,76.0,157.0,7443.0,12.0
E01000150,1020.0,156.0,153.0,177.0,278.0,18.0,7.0,10.0,7.0,77.0,137.0,8312.0,10.0
E01000151,587.0,47.0,85.0,131.0,141.0,16.0,7.0,3.0,9.0,62.0,86.0,5316.0,12.0
E01000152,607.0,80.0,103.0,140.0,147.0,15.0,2.0,5.0,5.0,43.0,67.0,5028.0,10.0
E01000153,578.0,78.0,92.0,123.0,142.0,17.0,7.0,7.0,7.0,33.0,72.0,5082.0,11.0
E01000154,553.0,78.0,62.0,89.0,176.0,11.0,3.0,4.0,4.0,34.0,92.0,4351.0,10.0
E01000156,1003.0,64.0,105.0,335.0,205.0,21.0,5.0,5.0,12.0,131.0,120.0,7758.0,10.0
E01000157,838.0,64.0,99.0,262.0,197.0,14.0,7.0,3.0,11.0,89.0,92.0,7688.0,12.0
E01000158,723.0,62.0,87.0,134.0,245.0,17.0,6.0,5.0,1.0,76.0,90.0,5424.0,10.0
E01000159,798.0,93.0,85.0,155.0,246.0,13.0,5.0,3.0,7.0,99.0,92.0,6499.0,11.0
E01000160,1209.0,61.0,84.0,218.0,480.0,36.0,11.0,11.0,16.0,134.0,158.0,12403.0,14.0
E01000161,993.0,71.0,198.0,210.0,284.0,17.0,10.0,6.0,6.0,81.0,110.0,7885.0,10.0
E01000162,741.0,95.0,75.0,162.0,193.0,14.0,5.0,8.0,10.0,92.0,87.0,6287.0,11.0
E01000163,750.0,60.0,110.0,213.0,183.0,18.0,6.0,7.0,9.0,61.0,83.0,6947.0,11.0
E01000164,782.0,86.0,111.0,205.0,160.0,14.0,5.0,5.0,7.0,89.0,100.0,6041.0,10.0
E01000165,1005.0,41.0,197.0,244.0,290.0,25.0,10.0,4.0,6.0,84.0,104.0,8414.0,10.0
E01000166,731.0,49.0,95.0,146.0,237.0,31.0,12.0,4.0,4.0,71.0,82.0,7419.0,13.0
E01000167,627.0,66.0,104.0,128.0,172.0,19.0,7.0,3.0,7.0,48.0,73.0,5551.0,11.0
E01000168,728.0,68.0,90.0,125.0,238.0,22.0,8.0,5.0,9.0,104.0,59.0,7199.0,13.0
E01000169,812.0,60.0,107.0,124.0,290.0,24.0,14.0,11.0,14.0,73.0,95.0,9492.0,15.0
E01000170,776.0,60.0,108.0,150.0,248.0,12.0,14.0,5.0,9.0,85.0,85.0,7188.0,12.0
E01000171,969.0,107.0,106.0,165.0,361.0,24.0,12.0,8.0,8.0,69.0,109.0,9803.0,12.0
E01000172,753.0,82.0,106.0,121.0,232.0,18.0,8.0,2.0,16.0,87.0,81.0,7375.0,13.0
E01000173,851.0,98.0,131.0,150.0,252.0,18.0,5.0,5.0,12.0,82.0,98.0,8493.0,13.0
E01000174,822.0,107.0,100.0,124.0,274.0,22.0,10.0,2.0,13.0,76.0,94.0,9919.0,15.0
E01000175,777.0,84.0,102.0,125.0,262.0,12.0,10.0,7.0,7.0,81.0,87.0,7221.0,12.0
E01000176,706.0,81.0,119.0,187.0,141.0,17.0,10.0,7.0,3.0,64.0,77.0,5128.0,9.0
E01000177,995.0,66.0,103.0,343.0,238.0,26.0,5.0,6.0,10.0,95.0,103.0,8853.0,11.0
E01000178,904.0,61.0,117.0,301.0,194.0,11.0,4.0,3.0,6.0,111.0,96.0,6471.0,9.0
E01000179,1029.0,65.0,104.0,350.0,241.0,25.0,16.0,9.0,14.0,93.0,112.0,10465.0,13.0
E01000180,809.0,58.0,94.0,275.0,160.0,22.0,7.0,4.0,16.0,73.0,100.0,7596.0,12.0
E01000181,1007.0,46.0,109.0,381.0,196.0,14.0,7.0,5.0,18.0,123.0,108.0,9276.0,12.0
E01000182,982.0,44.0,105.0,440.0,135.0,34.0,4.0,9.0,13.0,97.0,101.0,8705.0,11.0
E01000183,745.0,35.0,87.0,261.0,146.0,15.0,6.0,4.0,13.0,123.0,55.0,6977.0,12.0
E01000184,608.0,74.0,91.0,146.0,130.0,12.0,3.0,4.0,7.0,48.0,93.0,4830.0,10.0
E01000185,618.0,67.0,65.0,182.0,117.0,13.0,4.0,5.0,8.0,56.0,101.0,4694.0,10.0
E01000186,759.0,84.0,77.0,127.0,237.0,19.0,9.0,3.0,14.0,131.0,58.0,7908.0,14.0
E01000187,705.0,57.0,100.0,139.0,178.0,28.0,6.0,4.0,6.0,95.0,92.0,5905.0,11.0
E01000188,813.0,59.0,116.0,143.0,226.0,24.0,10.0,4.0,9.0,137.0,85.0,7640.0,13.0
E01000189,679.0,73.0,77.0,167.0,188.0,24.0,4.0,10.0,10.0,45.0,81.0,6644.0,12.0
E01000190,715.0,86.0,70.0,124.0,209.0,23.0,10.0,6.0,6.0,98.0,83.0,6430.0,12.0
E01000191,710.0,70.0,69.0,131.0,242.0,21.0,3.0,8.0,7.0,101.0,58.0,6800.0,12.0
E01000192,861.0,102.0,83.0,125.0,257.0,32.0,11.0,3.0,6.0,135.0,107.0,7088.0,11.0
E01000193,812.0,106.0,85.0,147.0,225.0,21.0,6.0,7.0,9.0,111.0,95.0,7236.0,12.0
E01000194,819.0,106.0,101.0,141.0,204.0,31.0,10.0,5.0,11.0,83.0,127.0,6975.0,12.0
E01000195,734.0,72.0,101.0,127.0,221.0,31.0,5.0,5.0,8.0,63.0,101.0,7118.0,12.0
E01000196,1030.0,89.0,109.0,233.0,291.0,18.0,18.0,3.0,17.0,121.0,131.0,8824.0,11.0
E01000197,1032.0,87.0,119.0,249.0,299.0,22.0,2.0,5.0,6.0,115.0,128.0,7881.0,10.0
E01000198,906.0,70.0,129.0,163.0,240.0,17.0,8.0,8.0,12.0,135.0,124.0,7793.0,12.0
E01000199,747.0,50.0,88.0,120.0,233.0,15.0,3.0,7.0,7.0,160.0,64.0,5987.0,11.0
E01000200,847.0,66.0,97.0,169.0,252.0,16.0,4.0,9.0,10.0,151.0,73.0,7134.0,12.0
E01000201,727.0,78.0,78.0,163.0,179.0,8.0,4.0,6.0,1.0,172.0,38.0,4745.0,9.0
E01000202,890.0,75.0,96.0,199.0,229.0,17.0,3.0,5.0,11.0,172.0,83.0,7106.0,11.0
E01000203,753.0,66.0,90.0,207.0,153.0,13.0,3.0,1.0,6.0,114.0,100.0,4978.0,9.0
E01000204,911.0,69.0,94.0,174.0,297.0,24.0,2.0,4.0,14.0,132.0,101.0,7747.0,11.0
E01000205,756.0,54.0,89.0,222.0,155.0,14.0,2.0,2.0,12.0,159.0,47.0,6373.0,12.0
E01000206,685.0,30.0,86.0,258.0,52.0,3.0,2.0,4.0,6.0,221.0,23.0,4648.0,11.0
E01000207,735.0,51.0,93.0,257.0,104.0,9.0,5.0,2.0,5.0,159.0,50.0,5135.0,10.0
E01000208,808.0,34.0,96.0,312.0,131.0,11.0,2.0,2.0,10.0,139.0,71.0,5896.0,10.0
E01000209,706.0,54.0,77.0,217.0,117.0,11.0,2.0,2.0,13.0,138.0,75.0,5964.0,12.0
E01000210,784.0,47.0,98.0,249.0,155.0,20.0,5.0,3.0,5.0,129.0,73.0,6033.0,10.0
E01000211,1110.0,91.0,149.0,316.0,241.0,17.0,12.0,5.0,8.0,131.0,140.0,8445.0,10.0
