LSOA21CD,Borough,Total: All households,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
E01000192,Barnet ,710,19.0,46.0,262.0,54.0,120.0,98.0,71.0,27.0,13.0
E01000193,Barnet ,710,13.0,95.0,197.0,55.0,173.0,96.0,51.0,19.0,11.0
E01000194,Barnet ,704,39.0,99.0,198.0,70.0,248.0,33.0,12.0,2.0,3.0
E01000226,Barnet ,600,4.0,83.0,143.0,288.0,73.0,5.0,0.0,2.0,2.0
E01000227,Barnet ,599,2.0,19.0,35.0,52.0,434.0,37.0,12.0,5.0,3.0
E01000299,Barnet ,907,90.0,185.0,311.0,96.0,173.0,37.0,12.0,1.0,2.0
E01000300,Barnet ,681,22.0,142.0,180.0,75.0,150.0,79.0,16.0,10.0,7.0
E01000302,Barnet ,839,114.0,165.0,363.0,91.0,61.0,19.0,6.0,5.0,15.0
E01000317,Barnet ,642,17.0,94.0,244.0,58.0,86.0,106.0,24.0,7.0,6.0
E01000318,Barnet ,636,6.0,34.0,72.0,143.0,255.0,105.0,12.0,7.0,2.0
E01000323,Barnet ,1019,66.0,341.0,349.0,76.0,133.0,40.0,9.0,2.0,3.0
E01000276,Barnet ,497,1.0,0.0,4.0,13.0,339.0,76.0,38.0,14.0,12.0
E01000278,Barnet ,502,0.0,3.0,12.0,21.0,340.0,78.0,36.0,9.0,3.0
E01000301,Barnet ,530,1.0,27.0,67.0,28.0,232.0,117.0,23.0,25.0,10.0
E01000303,Barnet ,537,11.0,28.0,77.0,15.0,296.0,77.0,21.0,6.0,6.0
E01000304,Barnet ,605,20.0,76.0,219.0,65.0,109.0,76.0,21.0,16.0,3.0
E01000130,Barnet ,653,16.0,109.0,163.0,284.0,58.0,18.0,3.0,2.0,0.0
E01000132,Barnet ,506,2.0,21.0,205.0,214.0,57.0,4.0,3.0,0.0,0.0
E01000133,Barnet ,579,16.0,71.0,140.0,275.0,68.0,6.0,1.0,2.0,0.0
E01000234,Barnet ,673,8.0,57.0,198.0,45.0,219.0,94.0,33.0,14.0,5.0
E01000235,Barnet ,652,39.0,32.0,196.0,180.0,115.0,60.0,22.0,7.0,1.0
E01000156,Barnet ,748,11.0,79.0,221.0,140.0,168.0,86.0,33.0,5.0,5.0
E01000157,Barnet ,666,38.0,97.0,310.0,98.0,75.0,30.0,13.0,4.0,1.0
E01000163,Barnet ,800,30.0,270.0,338.0,114.0,33.0,10.0,3.0,0.0,2.0
E01000164,Barnet ,646,15.0,84.0,194.0,238.0,91.0,19.0,1.0,2.0,2.0
E01000165,Barnet ,705,1.0,77.0,204.0,171.0,127.0,88.0,28.0,8.0,1.0
E01000315,Barnet ,635,2.0,64.0,155.0,237.0,152.0,19.0,5.0,0.0,1.0
E01000197,Barnet ,731,68.0,106.0,171.0,47.0,180.0,95.0,40.0,15.0,9.0
E01000295,Barnet ,648,23.0,69.0,169.0,50.0,180.0,86.0,34.0,26.0,11.0
E01000296,Barnet ,766,40.0,130.0,324.0,46.0,139.0,56.0,13.0,13.0,5.0
E01000298,Barnet ,733,42.0,141.0,256.0,68.0,128.0,63.0,19.0,12.0,4.0
E01000127,Barnet ,518,3.0,33.0,205.0,210.0,55.0,7.0,4.0,0.0,1.0
E01000128,Barnet ,634,1.0,17.0,180.0,249.0,165.0,15.0,6.0,1.0,0.0
E01000129,Barnet ,575,13.0,137.0,262.0,105.0,38.0,15.0,1.0,4.0,0.0
E01000131,Barnet ,713,9.0,146.0,142.0,143.0,241.0,23.0,7.0,0.0,2.0
E01000134,Barnet ,636,24.0,100.0,231.0,196.0,57.0,21.0,7.0,0.0,0.0
E01033913,Barnet ,538,21.0,109.0,288.0,36.0,82.0,1.0,1.0,0.0,0.0
E01033914,Barnet ,596,15.0,98.0,208.0,222.0,43.0,7.0,1.0,2.0,0.0
E01000198,Barnet ,779,5.0,54.0,230.0,101.0,210.0,82.0,52.0,17.0,28.0
E01000199,Barnet ,659,5.0,22.0,206.0,128.0,123.0,81.0,40.0,25.0,29.0
E01000204,Barnet ,692,46.0,77.0,184.0,54.0,113.0,112.0,55.0,32.0,19.0
