LSOA21CD,Borough,Total: All households,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
E01001363,Ealing ,527,0.0,26.0,159.0,63.0,258.0,11.0,4.0,3.0,3.0
E01001364,Ealing ,548,8.0,115.0,74.0,104.0,184.0,43.0,8.0,9.0,3.0
E01001365,Ealing ,677,12.0,45.0,57.0,91.0,429.0,30.0,5.0,4.0,4.0
E01001231,Ealing ,783,22.0,77.0,179.0,75.0,153.0,194.0,44.0,23.0,16.0
E01001234,Ealing ,610,51.0,143.0,192.0,78.0,57.0,32.0,14.0,13.0,30.0
E01001350,Ealing ,616,52.0,121.0,151.0,63.0,51.0,55.0,53.0,45.0,25.0
E01001352,Ealing ,645,34.0,114.0,188.0,99.0,47.0,48.0,41.0,34.0,40.0
E01001354,Ealing ,888,90.0,168.0,244.0,84.0,75.0,104.0,78.0,27.0,18.0
E01001249,Ealing ,1089,34.0,432.0,406.0,112.0,85.0,7.0,10.0,3.0,0.0
E01001250,Ealing ,981,32.0,329.0,368.0,130.0,95.0,17.0,4.0,4.0,2.0
E01001255,Ealing ,591,4.0,84.0,79.0,102.0,247.0,53.0,14.0,5.0,3.0
E01001383,Ealing ,650,10.0,102.0,95.0,68.0,298.0,56.0,10.0,6.0,5.0
E01001388,Ealing ,668,75.0,179.0,174.0,99.0,68.0,44.0,14.0,9.0,6.0
E01001389,Ealing ,759,42.0,184.0,227.0,76.0,165.0,38.0,16.0,6.0,5.0
E01001219,Ealing ,764,15.0,158.0,188.0,219.0,165.0,15.0,2.0,0.0,2.0
E01001220,Ealing ,468,1.0,46.0,121.0,128.0,156.0,9.0,6.0,1.0,0.0
E01001334,Ealing ,518,5.0,110.0,62.0,163.0,145.0,26.0,2.0,2.0,3.0
E01001337,Ealing ,764,3.0,170.0,200.0,159.0,193.0,25.0,9.0,2.0,3.0
E01001338,Ealing ,534,6.0,63.0,34.0,65.0,280.0,39.0,28.0,15.0,4.0
E01001339,Ealing ,701,19.0,75.0,220.0,154.0,119.0,84.0,19.0,10.0,1.0
E01001340,Ealing ,546,4.0,135.0,265.0,104.0,21.0,13.0,3.0,0.0,1.0
E01001251,Ealing ,735,16.0,117.0,199.0,191.0,157.0,38.0,15.0,2.0,0.0
E01001252,Ealing ,965,39.0,210.0,269.0,203.0,181.0,34.0,19.0,6.0,4.0
E01001253,Ealing ,776,5.0,103.0,226.0,203.0,192.0,27.0,16.0,3.0,1.0
E01001254,Ealing ,744,20.0,154.0,184.0,211.0,124.0,40.0,9.0,1.0,1.0
E01001229,Ealing ,590,11.0,56.0,214.0,127.0,133.0,26.0,19.0,3.0,1.0
E01001230,Ealing ,606,26.0,100.0,156.0,83.0,86.0,69.0,51.0,25.0,10.0
E01001232,Ealing ,615,31.0,106.0,102.0,157.0,131.0,57.0,16.0,9.0,6.0
E01001233,Ealing ,620,24.0,101.0,101.0,152.0,186.0,24.0,26.0,4.0,2.0
E01001237,Ealing ,673,31.0,158.0,207.0,52.0,48.0,63.0,50.0,33.0,31.0
E01001386,Ealing ,754,33.0,95.0,144.0,96.0,183.0,116.0,51.0,20.0,16.0
E01001303,Ealing ,648,3.0,49.0,155.0,128.0,196.0,93.0,19.0,3.0,2.0
E01001382,Ealing ,563,9.0,44.0,48.0,59.0,189.0,141.0,53.0,13.0,7.0
E01001384,Ealing ,700,6.0,96.0,109.0,202.0,220.0,48.0,12.0,3.0,4.0
E01001385,Ealing ,669,15.0,69.0,97.0,178.0,242.0,47.0,12.0,5.0,4.0
E01001387,Ealing ,725,74.0,217.0,229.0,41.0,45.0,47.0,32.0,19.0,21.0
E01001353,Ealing ,637,54.0,167.0,219.0,52.0,88.0,18.0,16.0,3.0,20.0
E01001355,Ealing ,888,24.0,309.0,270.0,72.0,129.0,65.0,12.0,4.0,3.0
E01001356,Ealing ,633,11.0,261.0,209.0,82.0,49.0,18.0,3.0,0.0,0.0
E01001357,Ealing ,1138,7.0,338.0,499.0,216.0,62.0,13.0,3.0,0.0,0.0
E01001358,Ealing ,823,25.0,221.0,367.0,157.0,46.0,5.0,1.0,0.0,1.0
E01001375,Ealing ,708,8.0,40.0,159.0,130.0,203.0,96.0,42.0,24.0,6.0
E01001377,Ealing ,694,34.0,54.0,152.0,50.0,104.0,110.0,67.0,59.0,64.0
E01001379,Ealing ,717,12.0,62.0,118.0,126.0,229.0,107.0,42.0,11.0,10.0
E01001381,Ealing ,857,70.0,213.0,203.0,99.0,175.0,75.0,13.0,4.0,5.0
E01001248,Ealing ,565,11.0,75.0,110.0,91.0,180.0,65.0,22.0,9.0,2.0
E01001299,Ealing ,644,6.0,32.0,59.0,43.0,379.0,83.0,31.0,9.0,2.0
E01001305,Ealing ,632,3.0,36.0,48.0,140.0,317.0,66.0,16.0,2.0,4.0
E01001306,Ealing ,699,25.0,103.0,118.0,168.0,229.0,46.0,7.0,0.0,3.0
E01001333,Ealing ,713,30.0,194.0,167.0,134.0,139.0,29.0,14.0,1.0,5.0
E01001335,Ealing ,514,11.0,35.0,73.0,55.0,200.0,78.0,34.0,14.0,14.0
E01001336,Ealing ,566,21.0,88.0,127.0,75.0,163.0,42.0,33.0,10.0,7.0
E01001369,Ealing ,552,8.0,120.0,89.0,84.0,205.0,31.0,8.0,6.0,1.0
E01001300,Ealing ,599,6.0,36.0,69.0,210.0,202.0,63.0,8.0,3.0,2.0
E01001301,Ealing ,812,29.0,244.0,230.0,142.0,103.0,42.0,14.0,4.0,4.0
E01001302,Ealing ,618,1.0,79.0,127.0,94.0,225.0,60.0,24.0,5.0,3.0
E01001304,Ealing ,698,20.0,165.0,215.0,120.0,99.0,55.0,17.0,3.0,4.0
E01001374,Ealing ,900,21.0,222.0,224.0,154.0,186.0,71.0,16.0,3.0,3.0
E01001376,Ealing ,734,50.0,197.0,232.0,85.0,103.0,27.0,8.0,1.0,31.0
E01001380,Ealing ,1054,36.0,280.0,303.0,144.0,140.0,101.0,19.0,15.0,16.0
E01032572,Ealing ,757,11.0,157.0,309.0,105.0,87.0,38.0,13.0,22.0,15.0
E01001223,Ealing ,633,26.0,109.0,241.0,63.0,30.0,35.0,35.0,25.0,69.0
E01001225,Ealing ,846,58.0,179.0,275.0,114.0,83.0,38.0,33.0,22.0,44.0
E01001273,Ealing ,584,4.0,31.0,111.0,75.0,67.0,161.0,82.0,29.0,24.0
E01001274,Ealing ,588,0.0,61.0,83.0,77.0,201.0,132.0,22.0,7.0,5.0
E01001275,Ealing ,911,136.0,223.0,340.0,78.0,38.0,27.0,11.0,16.0,42.0
E01001235,Ealing ,780,53.0,132.0,358.0,110.0,74.0,16.0,9.0,9.0,19.0
E01001236,Ealing ,686,37.0,174.0,252.0,63.0,56.0,45.0,19.0,24.0,16.0
E01034030,Ealing ,878,91.0,337.0,282.0,79.0,39.0,16.0,10.0,11.0,13.0
E01034031,Ealing ,634,7.0,238.0,311.0,65.0,9.0,3.0,0.0,1.0,0.0
E01001367,Ealing ,747,56.0,168.0,219.0,174.0,94.0,21.0,12.0,2.0,1.0
E01001372,Ealing ,697,21.0,103.0,170.0,216.0,177.0,9.0,1.0,0.0,0.0
E01001373,Ealing ,589,18.0,102.0,105.0,169.0,176.0,14.0,1.0,1.0,3.0
E01001366,Ealing ,566,4.0,35.0,160.0,107.0,235.0,15.0,4.0,3.0,3.0
E01001368,Ealing ,469,5.0,26.0,71.0,73.0,264.0,20.0,4.0,3.0,3.0
E01001370,Ealing ,568,14.0,32.0,38.0,123.0,331.0,19.0,4.0,2.0,5.0
E01001371,Ealing ,619,6.0,71.0,145.0,183.0,196.0,11.0,4.0,2.0,1.0
E01001444,Enfield ,646,1.0,28.0,204.0,199.0,179.0,19.0,12.0,3.0,1.0
E01001446,Enfield ,707,6.0,112.0,180.0,225.0,142.0,32.0,5.0,4.0,1.0
E01001546,Enfield ,610,25.0,37.0,103.0,239.0,193.0,8.0,4.0,0.0,1.0
E01001552,Enfield ,660,8.0,36.0,117.0,172.0,294.0,21.0,6.0,2.0,4.0
E01001442,Enfield ,637,6.0,106.0,279.0,150.0,87.0,6.0,3.0,0.0,0.0
E01001545,Enfield ,664,33.0,64.0,201.0,145.0,208.0,8.0,1.0,1.0,3.0
E01001547,Enfield ,724,11.0,66.0,116.0,178.0,314.0,27.0,5.0,5.0,2.0
E01001548,Enfield ,673,18.0,59.0,143.0,86.0,350.0,14.0,2.0,1.0,0.0
E01001551,Enfield ,641,0.0,78.0,127.0,180.0,237.0,14.0,3.0,0.0,2.0
E01001445,Enfield ,1141,16.0,305.0,446.0,210.0,132.0,26.0,5.0,0.0,1.0
E01001447,Enfield ,741,14.0,145.0,193.0,229.0,135.0,24.0,0.0,1.0,0.0
E01001448,Enfield ,666,11.0,108.0,89.0,271.0,171.0,12.0,2.0,0.0,2.0
E01001449,Enfield ,538,10.0,28.0,99.0,116.0,271.0,10.0,2.0,2.0,0.0
E01033148,Enfield ,671,2.0,59.0,195.0,141.0,170.0,77.0,15.0,9.0,3.0
E01033150,Enfield ,651,15.0,153.0,312.0,81.0,55.0,29.0,4.0,2.0,0.0
E01001408,Enfield ,711,19.0,37.0,262.0,238.0,129.0,17.0,3.0,1.0,5.0
E01001411,Enfield ,741,23.0,48.0,169.0,173.0,288.0,24.0,12.0,1.0,3.0
E01001412,Enfield ,660,2.0,12.0,153.0,281.0,108.0,51.0,18.0,11.0,24.0
E01001413,Enfield ,609,5.0,29.0,47.0,81.0,353.0,59.0,22.0,10.0,3.0
E01001414,Enfield ,691,16.0,116.0,368.0,118.0,58.0,13.0,2.0,0.0,0.0
E01001407,Enfield ,595,2.0,7.0,132.0,177.0,235.0,25.0,8.0,5.0,4.0
E01001409,Enfield ,782,60.0,145.0,243.0,139.0,150.0,36.0,7.0,2.0,0.0
E01001410,Enfield ,814,58.0,188.0,299.0,167.0,76.0,18.0,4.0,3.0,1.0
E01001516,Enfield ,669,7.0,63.0,118.0,218.0,214.0,20.0,27.0,2.0,0.0
E01001537,Enfield ,690,2.0,21.0,377.0,99.0,168.0,15.0,6.0,0.0,2.0
E01001439,Enfield ,766,15.0,95.0,270.0,229.0,136.0,10.0,4.0,5.0,2.0
E01001441,Enfield ,621,14.0,169.0,136.0,135.0,144.0,16.0,3.0,2.0,2.0
E01001517,Enfield ,686,2.0,164.0,124.0,340.0,33.0,17.0,4.0,1.0,1.0
E01001549,Enfield ,817,50.0,123.0,336.0,156.0,133.0,13.0,2.0,4.0,0.0
E01001550,Enfield ,579,1.0,7.0,120.0,288.0,137.0,13.0,10.0,1.0,2.0
E01001433,Enfield ,577,5.0,15.0,153.0,325.0,59.0,15.0,4.0,0.0,1.0
E01001434,Enfield ,540,9.0,20.0,110.0,184.0,191.0,16.0,8.0,2.0,0.0
E01001435,Enfield ,486,1.0,14.0,23.0,142.0,283.0,15.0,8.0,0.0,0.0
E01001436,Enfield ,652,5.0,13.0,116.0,188.0,296.0,19.0,11.0,4.0,0.0
E01001438,Enfield ,546,0.0,34.0,98.0,153.0,232.0,20.0,5.0,3.0,1.0
E01001469,Enfield ,671,14.0,66.0,126.0,231.0,165.0,56.0,9.0,2.0,2.0
E01001536,Enfield ,848,39.0,78.0,256.0,154.0,229.0,54.0,22.0,6.0,10.0
E01001540,Enfield ,796,15.0,133.0,258.0,155.0,184.0,26.0,17.0,3.0,5.0
E01001541,Enfield ,646,6.0,64.0,183.0,135.0,212.0,34.0,9.0,2.0,1.0
E01001542,Enfield ,655,10.0,88.0,260.0,107.0,148.0,34.0,5.0,1.0,2.0
E01001538,Enfield ,597,0.0,3.0,26.0,131.0,386.0,39.0,7.0,3.0,2.0
E01001539,Enfield ,640,6.0,52.0,62.0,175.0,317.0,17.0,6.0,4.0,1.0
E01001543,Enfield ,586,2.0,3.0,15.0,53.0,465.0,33.0,9.0,4.0,2.0
E01001544,Enfield ,639,1.0,26.0,59.0,37.0,450.0,49.0,10.0,5.0,2.0
E01001457,Enfield ,842,71.0,128.0,284.0,128.0,144.0,52.0,23.0,8.0,4.0
E01001468,Enfield ,575,26.0,54.0,144.0,110.0,147.0,56.0,24.0,8.0,6.0
E01001471,Enfield ,967,40.0,276.0,388.0,118.0,58.0,39.0,28.0,10.0,10.0
E01001472,Enfield ,755,34.0,115.0,290.0,123.0,76.0,73.0,28.0,9.0,7.0
E01001474,Enfield ,862,21.0,167.0,243.0,124.0,159.0,66.0,45.0,20.0,17.0
E01001415,Enfield ,871,50.0,100.0,270.0,144.0,164.0,82.0,46.0,13.0,2.0
E01001417,Enfield ,666,1.0,10.0,64.0,103.0,104.0,122.0,91.0,75.0,96.0
E01001418,Enfield ,719,16.0,114.0,164.0,68.0,263.0,69.0,16.0,8.0,1.0
E01001422,Enfield ,615,4.0,7.0,50.0,84.0,73.0,95.0,82.0,80.0,140.0
E01001440,Enfield ,575,16.0,48.0,93.0,127.0,251.0,25.0,8.0,3.0,4.0
E01001504,Enfield ,561,9.0,21.0,87.0,191.0,227.0,19.0,0.0,4.0,3.0
E01001505,Enfield ,598,8.0,69.0,76.0,270.0,154.0,16.0,2.0,1.0,2.0
E01001507,Enfield ,811,29.0,251.0,180.0,133.0,179.0,23.0,14.0,2.0,0.0
E01001508,Enfield ,784,12.0,148.0,219.0,252.0,113.0,28.0,7.0,1.0,4.0
E01001513,Enfield ,724,83.0,81.0,198.0,206.0,133.0,17.0,4.0,1.0,1.0
E01001416,Enfield ,593,0.0,17.0,13.0,65.0,340.0,112.0,30.0,13.0,3.0
E01001470,Enfield ,650,1.0,21.0,151.0,86.0,294.0,67.0,15.0,8.0,7.0
E01001473,Enfield ,545,1.0,0.0,27.0,174.0,256.0,64.0,10.0,6.0,7.0
E01001475,Enfield ,638,2.0,1.0,22.0,71.0,370.0,120.0,38.0,9.0,5.0
E01001437,Enfield ,893,19.0,240.0,327.0,185.0,105.0,13.0,3.0,1.0,0.0
E01001509,Enfield ,648,11.0,186.0,171.0,108.0,154.0,11.0,3.0,2.0,2.0
E01033926,Enfield ,977,15.0,190.0,311.0,321.0,111.0,26.0,3.0,0.0,0.0
E01001405,Enfield ,833,23.0,206.0,342.0,61.0,91.0,52.0,23.0,24.0,11.0
E01001406,Enfield ,651,10.0,149.0,136.0,161.0,136.0,29.0,18.0,10.0,2.0
E01001450,Enfield ,1114,29.0,216.0,606.0,121.0,82.0,37.0,15.0,5.0,3.0
E01001512,Enfield ,993,95.0,207.0,310.0,204.0,148.0,22.0,1.0,2.0,4.0
E01001515,Enfield ,744,12.0,189.0,196.0,204.0,130.0,12.0,0.0,0.0,1.0
E01001401,Enfield ,498,0.0,6.0,15.0,77.0,378.0,19.0,2.0,1.0,0.0
E01001478,Enfield ,572,0.0,18.0,107.0,153.0,260.0,24.0,8.0,2.0,0.0
E01001484,Enfield ,499,0.0,3.0,166.0,78.0,232.0,19.0,1.0,0.0,0.0
E01001511,Enfield ,669,2.0,31.0,152.0,282.0,186.0,11.0,4.0,0.0,1.0
E01001514,Enfield ,667,4.0,74.0,76.0,248.0,248.0,10.0,6.0,0.0,1.0
E01001518,Enfield ,657,8.0,79.0,166.0,153.0,194.0,39.0,14.0,3.0,1.0
E01001451,Enfield ,692,20.0,79.0,123.0,80.0,213.0,114.0,41.0,13.0,9.0
E01001452,Enfield ,481,0.0,8.0,34.0,31.0,195.0,112.0,49.0,20.0,32.0
E01001453,Enfield ,649,3.0,35.0,128.0,83.0,195.0,106.0,54.0,24.0,21.0
E01001454,Enfield ,665,0.0,41.0,172.0,79.0,190.0,74.0,62.0,37.0,10.0
E01001476,Enfield ,611,7.0,38.0,114.0,118.0,314.0,15.0,3.0,1.0,1.0
E01001477,Enfield ,612,5.0,35.0,28.0,210.0,292.0,41.0,1.0,0.0,0.0
E01001481,Enfield ,557,9.0,20.0,40.0,117.0,347.0,19.0,2.0,3.0,0.0
E01001502,Enfield ,659,4.0,51.0,166.0,164.0,241.0,21.0,10.0,1.0,1.0
E01001503,Enfield ,648,9.0,20.0,183.0,218.0,204.0,11.0,2.0,0.0,1.0
E01001520,Enfield ,694,4.0,85.0,230.0,63.0,202.0,70.0,22.0,11.0,7.0
E01001522,Enfield ,746,2.0,76.0,447.0,108.0,84.0,25.0,3.0,1.0,0.0
E01001523,Enfield ,723,6.0,63.0,256.0,64.0,250.0,69.0,8.0,6.0,1.0
E01001524,Enfield ,548,11.0,48.0,147.0,39.0,220.0,59.0,13.0,5.0,6.0
E01001526,Enfield ,634,10.0,32.0,144.0,31.0,302.0,78.0,27.0,7.0,3.0
E01001419,Enfield ,769,3.0,44.0,337.0,96.0,210.0,55.0,16.0,5.0,3.0
E01001420,Enfield ,633,2.0,74.0,115.0,104.0,302.0,18.0,12.0,0.0,6.0
E01001421,Enfield ,620,8.0,57.0,317.0,69.0,124.0,25.0,14.0,5.0,1.0
E01001525,Enfield ,758,14.0,68.0,213.0,149.0,250.0,50.0,7.0,3.0,4.0
E01033927,Enfield ,681,12.0,181.0,355.0,71.0,44.0,13.0,3.0,0.0,2.0
E01033928,Enfield ,576,27.0,171.0,232.0,68.0,37.0,27.0,13.0,1.0,0.0
E01001398,Enfield ,497,2.0,9.0,23.0,59.0,303.0,65.0,24.0,8.0,4.0
E01001399,Enfield ,500,2.0,9.0,24.0,61.0,363.0,32.0,9.0,0.0,0.0
E01001400,Enfield ,571,1.0,27.0,93.0,62.0,277.0,77.0,16.0,9.0,9.0
E01001402,Enfield ,700,7.0,60.0,125.0,63.0,315.0,91.0,25.0,6.0,8.0
E01001403,Enfield ,642,22.0,83.0,55.0,100.0,316.0,55.0,9.0,2.0,0.0
E01001455,Enfield ,564,0.0,54.0,75.0,58.0,321.0,36.0,14.0,3.0,3.0
E01001456,Enfield ,492,1.0,6.0,45.0,22.0,244.0,110.0,48.0,12.0,4.0
E01001564,Enfield ,640,5.0,105.0,132.0,43.0,148.0,149.0,37.0,17.0,4.0
E01001567,Enfield ,611,16.0,20.0,80.0,71.0,267.0,115.0,24.0,9.0,9.0
E01001568,Enfield ,564,0.0,3.0,6.0,25.0,223.0,131.0,54.0,32.0,90.0
E01001569,Enfield ,748,32.0,103.0,253.0,91.0,154.0,66.0,31.0,13.0,5.0
E01001479,Enfield ,641,12.0,132.0,108.0,143.0,224.0,17.0,1.0,2.0,2.0
E01001482,Enfield ,657,34.0,83.0,151.0,166.0,209.0,9.0,1.0,1.0,3.0
E01001487,Enfield ,665,10.0,53.0,147.0,280.0,160.0,5.0,5.0,2.0,3.0
E01001489,Enfield ,655,9.0,36.0,187.0,265.0,131.0,13.0,7.0,2.0,5.0
E01001491,Enfield ,699,11.0,110.0,161.0,258.0,147.0,7.0,2.0,1.0,2.0
E01001459,Enfield ,561,0.0,18.0,16.0,113.0,391.0,15.0,4.0,3.0,1.0
E01001460,Enfield ,671,45.0,144.0,157.0,81.0,215.0,20.0,6.0,3.0,0.0
E01001462,Enfield ,528,72.0,88.0,84.0,108.0,135.0,13.0,24.0,1.0,3.0
E01001480,Enfield ,581,20.0,132.0,49.0,117.0,242.0,13.0,3.0,2.0,3.0
E01001488,Enfield ,665,11.0,68.0,121.0,252.0,193.0,13.0,6.0,1.0,0.0
E01001483,Enfield ,532,80.0,180.0,131.0,28.0,106.0,5.0,2.0,0.0,0.0
E01001485,Enfield ,666,9.0,91.0,146.0,254.0,151.0,10.0,3.0,2.0,0.0
E01001486,Enfield ,804,2.0,193.0,250.0,241.0,101.0,12.0,3.0,1.0,1.0
E01001492,Enfield ,666,8.0,31.0,116.0,237.0,253.0,15.0,5.0,1.0,0.0
E01033146,Enfield ,556,10.0,88.0,208.0,159.0,80.0,11.0,0.0,0.0,0.0
E01033151,Enfield ,505,1.0,104.0,175.0,136.0,71.0,6.0,5.0,4.0,3.0
E01001404,Enfield ,515,2.0,10.0,44.0,134.0,271.0,42.0,9.0,3.0,0.0
E01001493,Enfield ,734,24.0,121.0,126.0,110.0,326.0,22.0,3.0,2.0,0.0
E01001494,Enfield ,502,1.0,8.0,7.0,49.0,408.0,20.0,8.0,0.0,1.0
E01001496,Enfield ,641,3.0,48.0,73.0,60.0,398.0,49.0,8.0,1.0,1.0
E01001570,Enfield ,725,7.0,67.0,168.0,127.0,313.0,34.0,7.0,1.0,1.0
E01001423,Enfield ,621,26.0,101.0,109.0,144.0,214.0,18.0,6.0,3.0,0.0
E01001425,Enfield ,739,55.0,93.0,318.0,177.0,76.0,11.0,1.0,3.0,5.0
E01001428,Enfield ,565,12.0,69.0,93.0,178.0,181.0,26.0,5.0,0.0,1.0
E01001461,Enfield ,627,55.0,179.0,141.0,124.0,97.0,19.0,7.0,2.0,3.0
E01001464,Enfield ,420,3.0,39.0,18.0,199.0,143.0,13.0,3.0,0.0,2.0
E01001521,Enfield ,680,19.0,35.0,161.0,119.0,150.0,134.0,46.0,10.0,6.0
E01001531,Enfield ,530,4.0,39.0,77.0,29.0,184.0,127.0,51.0,16.0,3.0
E01001532,Enfield ,663,10.0,85.0,125.0,59.0,90.0,171.0,81.0,25.0,17.0
E01001533,Enfield ,537,0.0,2.0,35.0,22.0,264.0,157.0,42.0,6.0,9.0
E01001535,Enfield ,496,3.0,16.0,27.0,55.0,237.0,116.0,28.0,10.0,4.0
E01001495,Enfield ,722,46.0,153.0,212.0,30.0,195.0,71.0,14.0,0.0,1.0
E01001498,Enfield ,697,22.0,150.0,183.0,53.0,219.0,46.0,16.0,6.0,2.0
E01001563,Enfield ,699,50.0,128.0,185.0,83.0,196.0,44.0,8.0,3.0,2.0
E01001565,Enfield ,707,18.0,144.0,200.0,38.0,134.0,139.0,24.0,4.0,6.0
E01001566,Enfield ,628,13.0,71.0,197.0,62.0,28.0,134.0,90.0,22.0,11.0
E01001424,Enfield ,476,21.0,142.0,196.0,73.0,32.0,9.0,3.0,0.0,0.0
E01001426,Enfield ,618,7.0,79.0,182.0,260.0,69.0,10.0,6.0,1.0,4.0
E01001427,Enfield ,644,13.0,160.0,190.0,169.0,83.0,10.0,13.0,3.0,3.0
E01001429,Enfield ,1014,11.0,390.0,494.0,89.0,20.0,8.0,1.0,1.0,0.0
E01001430,Enfield ,649,6.0,80.0,317.0,189.0,33.0,23.0,0.0,0.0,1.0
E01001463,Enfield ,513,0.0,21.0,52.0,175.0,236.0,19.0,7.0,2.0,1.0
E01001465,Enfield ,499,5.0,23.0,40.0,90.0,313.0,14.0,12.0,2.0,0.0
E01001466,Enfield ,621,2.0,31.0,231.0,215.0,106.0,18.0,1.0,1.0,16.0
E01001467,Enfield ,663,7.0,17.0,259.0,232.0,126.0,15.0,3.0,4.0,0.0
E01001497,Enfield ,509,0.0,15.0,32.0,136.0,315.0,7.0,3.0,0.0,1.0
E01001499,Enfield ,536,3.0,34.0,34.0,45.0,394.0,13.0,10.0,1.0,2.0
E01001392,Enfield ,667,1.0,40.0,77.0,94.0,402.0,38.0,10.0,2.0,3.0
E01001528,Enfield ,685,2.0,133.0,302.0,211.0,28.0,6.0,3.0,0.0,0.0
E01001529,Enfield ,653,26.0,170.0,222.0,142.0,50.0,25.0,11.0,3.0,4.0
E01001530,Enfield ,620,1.0,44.0,114.0,106.0,327.0,22.0,5.0,0.0,1.0
E01001534,Enfield ,602,9.0,43.0,53.0,79.0,321.0,69.0,16.0,7.0,5.0
E01001431,Enfield ,655,46.0,139.0,206.0,198.0,54.0,6.0,2.0,2.0,2.0
E01001432,Enfield ,730,43.0,75.0,194.0,200.0,194.0,16.0,7.0,0.0,1.0
E01001555,Enfield ,771,5.0,87.0,169.0,244.0,233.0,23.0,4.0,5.0,1.0
E01001557,Enfield ,549,4.0,6.0,79.0,320.0,111.0,23.0,2.0,2.0,2.0
E01001558,Enfield ,605,23.0,58.0,219.0,184.0,107.0,7.0,4.0,2.0,1.0
E01001559,Enfield ,673,1.0,50.0,184.0,188.0,226.0,21.0,1.0,1.0,1.0
E01001394,Enfield ,669,10.0,114.0,103.0,107.0,305.0,25.0,3.0,2.0,0.0
E01001395,Enfield ,598,16.0,84.0,217.0,96.0,167.0,16.0,2.0,0.0,0.0
E01001397,Enfield ,768,38.0,132.0,224.0,33.0,315.0,18.0,4.0,2.0,2.0
E01001500,Enfield ,551,9.0,83.0,56.0,55.0,288.0,51.0,8.0,0.0,1.0
E01001556,Enfield ,538,0.0,27.0,23.0,35.0,427.0,19.0,4.0,1.0,2.0
E01001560,Enfield ,508,3.0,23.0,100.0,80.0,277.0,20.0,0.0,4.0,1.0
E01001390,Enfield ,714,16.0,117.0,149.0,124.0,246.0,43.0,13.0,4.0,2.0
E01001391,Enfield ,734,106.0,191.0,199.0,63.0,102.0,34.0,19.0,9.0,11.0
E01001393,Enfield ,819,60.0,163.0,205.0,132.0,154.0,84.0,13.0,4.0,4.0
E01001396,Enfield ,524,7.0,58.0,91.0,29.0,265.0,42.0,20.0,8.0,4.0
E01001501,Enfield ,920,99.0,197.0,326.0,82.0,120.0,59.0,22.0,8.0,7.0
E01001527,Enfield ,788,33.0,101.0,248.0,65.0,240.0,62.0,22.0,7.0,10.0
E01001458,Enfield ,641,8.0,150.0,177.0,244.0,55.0,6.0,1.0,0.0,0.0
E01001553,Enfield ,545,2.0,42.0,149.0,167.0,129.0,48.0,6.0,0.0,2.0
E01001554,Enfield ,686,3.0,258.0,292.0,115.0,12.0,4.0,2.0,0.0,0.0
E01001562,Enfield ,823,79.0,222.0,273.0,150.0,61.0,30.0,5.0,0.0,3.0
E01032574,Enfield ,693,8.0,40.0,173.0,293.0,162.0,13.0,2.0,1.0,1.0
E01001690,Greenwich ,813,10.0,296.0,187.0,225.0,57.0,27.0,4.0,3.0,4.0
E01001692,Greenwich ,557,7.0,136.0,123.0,268.0,12.0,5.0,3.0,0.0,3.0
E01001693,Greenwich ,613,1.0,192.0,188.0,150.0,77.0,2.0,1.0,2.0,0.0
E01001694,Greenwich ,611,2.0,157.0,68.0,318.0,35.0,29.0,2.0,0.0,0.0
E01001687,Greenwich ,516,9.0,115.0,270.0,83.0,32.0,4.0,3.0,0.0,0.0
E01001688,Greenwich ,938,5.0,164.0,440.0,192.0,115.0,13.0,7.0,0.0,2.0
E01033739,Greenwich ,650,0.0,133.0,406.0,31.0,73.0,6.0,0.0,0.0,1.0
E01033740,Greenwich ,545,0.0,93.0,237.0,103.0,95.0,14.0,2.0,1.0,0.0
E01033741,Greenwich ,641,0.0,94.0,288.0,100.0,116.0,38.0,3.0,1.0,1.0
E01033743,Greenwich ,663,0.0,57.0,292.0,173.0,117.0,23.0,1.0,0.0,0.0
E01033745,Greenwich ,588,2.0,14.0,229.0,231.0,98.0,13.0,1.0,0.0,0.0
E01001575,Greenwich ,622,30.0,34.0,182.0,305.0,56.0,6.0,7.0,0.0,2.0
E01001576,Greenwich ,669,30.0,85.0,284.0,188.0,68.0,6.0,4.0,1.0,3.0
E01001577,Greenwich ,725,42.0,91.0,239.0,277.0,60.0,11.0,4.0,1.0,0.0
E01001578,Greenwich ,849,8.0,83.0,281.0,304.0,125.0,34.0,13.0,1.0,0.0
E01001579,Greenwich ,622,17.0,43.0,188.0,281.0,89.0,3.0,1.0,0.0,0.0
E01001705,Greenwich ,845,40.0,184.0,321.0,178.0,70.0,36.0,12.0,1.0,3.0
E01001708,Greenwich ,683,3.0,108.0,190.0,112.0,58.0,123.0,78.0,9.0,2.0
E01001710,Greenwich ,652,44.0,120.0,297.0,130.0,48.0,7.0,3.0,2.0,1.0
E01034173,Greenwich ,639,4.0,92.0,196.0,183.0,96.0,50.0,14.0,1.0,3.0
E01001672,Greenwich ,641,17.0,51.0,103.0,259.0,150.0,45.0,16.0,0.0,0.0
E01001673,Greenwich ,800,36.0,225.0,166.0,124.0,92.0,120.0,34.0,2.0,1.0
E01001674,Greenwich ,709,13.0,52.0,55.0,252.0,243.0,66.0,27.0,1.0,0.0
