Local authority code,Local authority name,LSOA11CD,LSOA name,Number of sales 2011,Number of sales 2021
E09000003,Barnet,E01000162,Barnet 015E,54,31
E09000003,Barnet,E01000163,Barnet 022C,51,47
E09000003,Barnet,E01000164,Barnet 022D,70,45
E09000003,Barnet,E01000165,Barnet 022E,76,76
E09000003,Barnet,E01000166,Barnet 003A,81,77
E09000003,Barnet,E01000167,Barnet 002A,28,62
E09000003,Barnet,E01000168,Barnet 003B,79,81
E09000003,Barnet,E01000169,Barnet 003C,87,132
E09000003,Barnet,E01000170,Barnet 006A,87,95
E09000003,Barnet,E01000171,Barnet 006B,114,106
E09000003,Barnet,E01000172,Barnet 003D,72,112
E09000003,Barnet,E01000173,Barnet 006C,36,107
E09000003,Barnet,E01000174,Barnet 006D,106,68
E09000003,Barnet,E01000175,Barnet 006E,82,106
E09000003,Barnet,E01000176,Barnet 027A,61,14
E09000003,Barnet,E01000177,Barnet 029A,108,103
E09000003,Barnet,E01000178,Barnet 027B,96,105
E09000003,Barnet,E01000179,Barnet 029B,111,159
E09000003,Barnet,E01000180,Barnet 029C,59,61
E09000003,Barnet,E01000181,Barnet 029D,80,94
E09000003,Barnet,E01000182,Barnet 029E,118,94
E09000003,Barnet,E01000183,Barnet 033A,71,79
E09000003,Barnet,E01000184,Barnet 027C,45,69
E09000003,Barnet,E01000185,Barnet 029F,30,43
E09000003,Barnet,E01000186,Barnet 014A,44,58
E09000003,Barnet,E01000187,Barnet 014B,55,71
E09000003,Barnet,E01000188,Barnet 014C,48,43
E09000003,Barnet,E01000189,Barnet 014D,110,116
E09000003,Barnet,E01000190,Barnet 014E,69,64
E09000003,Barnet,E01000191,Barnet 014F,67,96
E09000003,Barnet,E01000192,Barnet 018A,77,65
E09000003,Barnet,E01000193,Barnet 018B,84,94
E09000003,Barnet,E01000194,Barnet 018C,66,49
E09000003,Barnet,E01000195,Barnet 013A,113,58
E09000003,Barnet,E01000196,Barnet 028A,81,85
E09000003,Barnet,E01000197,Barnet 023A,58,53
E09000003,Barnet,E01000198,Barnet 025A,109,105
E09000003,Barnet,E01000199,Barnet 025B,104,102
E09000003,Barnet,E01000200,Barnet 028B,121,132
E09000003,Barnet,E01000201,Barnet 028C,75,56
E09000003,Barnet,E01000202,Barnet 028D,83,83
E09000003,Barnet,E01000203,Barnet 028E,67,80
E09000003,Barnet,E01000204,Barnet 025C,66,125
E09000003,Barnet,E01000205,Barnet 035A,108,126
E09000003,Barnet,E01000206,Barnet 033B,59,64
E09000003,Barnet,E01000207,Barnet 033C,93,66
E09000003,Barnet,E01000208,Barnet 033D,61,70
E09000003,Barnet,E01000209,Barnet 035B,115,127
E09000003,Barnet,E01000210,Barnet 033E,101,111
