LSOA21CD,Number of sales 2011_weighted,Number of sales 2021_weighted
E01001106,84.0,134.0
E01001107,76.0,83.0
E01001108,80.0,108.0
E01001109,44.0,78.0
E01001110,43.0,60.0
E01001111,57.0,72.0
E01001112,34.0,71.0
E01001113,48.0,87.0
E01001114,35.0,42.0
E01001115,29.0,38.0
E01001116,29.0,130.0
E01001118,53.0,73.0
E01001119,67.0,83.0
E01001120,51.0,82.0
E01001121,38.0,75.0
E01001122,43.0,94.0
E01001123,48.0,118.0
E01001124,59.0,123.0
E01001125,46.0,83.0
E01001126,95.0,146.0
E01001127,72.0,89.0
E01001128,14.0,37.0
E01001129,66.0,86.0
E01001130,8.0,14.0
E01001131,90.0,117.0
E01001132,59.0,134.0
E01001133,101.0,145.0
E01001134,76.0,145.0
E01001135,48.0,77.0
E01001136,62.0,144.0
E01001137,117.0,297.0
E01001138,84.0,138.0
E01001139,50.0,83.0
E01001140,95.0,175.0
E01001141,35.0,66.0
E01001142,83.0,126.0
E01001143,69.0,123.0
E01001144,45.0,121.0
E01001145,20.0,47.0
E01001146,56.0,88.0
E01001147,25.0,77.0
E01001148,50.0,92.0
E01001149,64.0,90.0
E01001150,67.0,105.0
E01001151,46.0,63.0
E01001152,42.0,70.0
E01001153,47.0,71.0
E01001154,55.0,98.0
E01001155,43.0,38.0
E01001156,74.0,145.0
E01001157,41.0,112.0
E01001158,56.0,107.0
E01001159,54.0,122.0
E01001160,58.0,68.0
E01001161,28.0,34.0
E01001162,66.0,109.0
E01001163,58.0,164.0
E01001164,102.0,166.0
E01001165,59.0,119.0
E01001166,52.0,93.0
E01001167,58.0,119.0
E01001168,103.0,165.0
E01001169,29.0,61.0
E01001170,89.0,133.0
E01001171,71.0,164.0
E01001172,15.0,33.0
E01001173,139.0,174.0
E01001174,39.0,39.0
E01001175,34.0,25.0
E01001176,40.0,45.0
E01001177,27.0,52.0
E01001178,42.0,30.0
E01001179,47.0,63.0
E01001180,48.0,48.0
E01001181,45.0,45.0
E01001182,43.0,32.0
E01001183,147.0,24.0
E01001184,21.0,60.0
E01001185,80.0,164.0
E01001186,50.0,83.0
E01001187,61.0,53.0
E01001188,32.0,151.0
E01001189,30.0,81.0
E01001190,61.0,120.0
E01001191,86.0,100.0
E01001192,43.0,108.0
E01001193,21.0,33.0
E01001194,83.0,106.0
E01001195,54.0,59.0
E01001196,38.0,37.0
E01001197,49.0,41.0
E01001198,57.0,91.0
E01001199,66.0,66.0
E01001200,86.0,105.0
E01001201,102.0,79.0
E01001202,152.0,163.0
E01001203,68.0,63.0
E01001204,59.0,69.0
E01001205,36.0,53.0
E01001206,19.0,5.0
E01001207,73.0,79.0
E01001208,51.0,58.0
E01001209,64.0,105.0
E01001210,27.0,29.0
E01001211,105.0,91.0
E01001212,70.0,95.0
E01001213,30.0,12.0
E01001214,21.0,18.0
E01001215,33.0,53.0
E01001216,20.0,31.0
E01001217,23.0,27.0
E01001218,38.0,10.0
E01001219,32.0,9.0
E01001220,13.0,21.0
E01001223,55.0,88.0
E01001224,82.0,60.0
E01001225,58.0,72.0
E01001226,91.0,44.0
E01001227,95.0,86.0
E01001228,81.0,87.0
E01001229,46.0,53.0
E01001230,80.0,93.0
E01001231,136.0,104.0
E01001232,49.0,63.0
E01001233,50.0,71.0
E01001234,67.0,45.0
E01001235,66.0,108.0
E01001236,77.0,66.0
E01001237,55.0,75.0
E01001239,27.0,14.0
E01001240,43.0,23.0
E01001241,53.0,58.0
E01001242,55.0,48.0
E01001243,47.0,50.0
E01001244,280.0,98.0
E01001245,102.0,78.0
E01001246,61.0,28.0
E01001247,63.0,60.0
E01001248,47.0,75.0
E01001249,53.0,109.0
E01001250,88.0,162.0
E01001251,115.0,127.0
E01001252,74.0,97.0
E01001253,98.0,128.0
E01001254,113.0,87.0
E01001255,106.0,95.0
E01001257,27.0,31.0
E01001258,54.0,28.0
E01001259,34.0,28.0
E01001260,47.0,61.0
E01001261,66.0,42.0
E01001262,41.0,30.0
E01001263,52.0,50.0
E01001264,68.0,82.0
E01001265,47.0,39.0
E01001266,45.0,45.0
E01001267,53.0,81.0
E01001268,74.0,84.0
E01001269,72.0,60.0
E01001270,67.0,45.0
E01001271,69.0,47.0
E01001272,47.0,15.0
E01001273,58.0,67.0
E01001274,63.0,37.0
E01001275,75.0,110.0
E01001276,42.0,65.0
E01001277,41.0,407.0
E01001278,84.0,103.0
E01001279,74.0,101.0
E01001280,78.0,65.0
E01001281,102.0,84.0
E01001282,50.0,54.0
E01001283,66.0,54.0
E01001284,49.0,76.0
E01001285,58.0,77.0
E01001286,61.0,65.0
E01001287,23.0,16.0
E01001288,77.0,67.0
E01001289,43.0,69.0
E01001290,78.0,126.0
E01001291,35.0,32.0
E01001292,35.0,29.0
E01001293,29.0,20.0
E01001294,45.0,14.0
E01001295,35.0,19.0
E01001296,16.0,48.0
E01001297,17.0,17.0
E01001298,38.0,29.0
E01001299,105.0,89.0
E01001300,104.0,77.0
E01001301,94.0,60.0
E01001302,65.0,62.0
E01001303,102.0,94.0
E01001304,109.0,108.0
E01001305,92.0,81.0
E01001306,117.0,167.0
E01001307,41.0,63.0
E01001308,55.0,71.0
E01001309,52.0,50.0
E01001310,92.0,62.0
E01001311,48.0,45.0
E01001312,25.0,49.0
E01001313,33.0,50.0
E01001314,51.0,50.0
E01001315,60.0,42.0
E01001316,36.0,35.0
E01001317,75.0,67.0
E01001318,46.0,26.0
E01001319,44.0,35.0
E01001320,24.0,35.0
E01001321,89.0,95.0
E01001322,52.0,76.0
E01001323,63.0,59.0
E01001324,90.0,40.0
E01001325,53.0,42.0
E01001326,44.0,48.0
E01001327,54.0,22.0
E01001328,53.0,44.0
E01001329,52.0,71.0
E01001330,18.0,21.0
E01001331,46.0,30.0
E01001332,27.0,19.0
E01001333,21.0,201.0
E01001334,20.0,9.0
E01001335,37.0,68.0
E01001336,36.0,32.0
E01001337,33.0,91.0
E01001338,20.0,45.0
E01001339,19.0,86.0
E01001340,26.0,62.0
E01001341,57.0,15.0
E01001342,39.0,51.0
E01001343,52.0,58.0
E01001344,76.0,70.0
E01001345,43.0,34.0
E01001346,81.0,48.0
E01001347,44.0,33.0
E01001348,59.0,47.0
E01001349,30.0,54.0
E01001350,65.0,87.0
E01001351,94.0,75.0
E01001352,195.0,83.0
E01001353,75.0,153.0
E01001354,57.0,149.0
E01001355,85.0,133.0
E01001356,31.0,27.0
E01001357,40.0,386.0
E01001358,8.0,88.0
E01001359,18.0,8.0
E01001360,17.0,20.0
E01001361,8.0,6.0
E01001362,18.0,449.0
E01001363,40.0,14.0
E01001364,28.0,10.0
E01001365,71.0,15.0
E01001366,35.0,27.0
E01001367,13.0,14.0
E01001368,13.0,25.0
E01001369,34.0,31.0
E01001370,45.0,27.0
E01001371,27.0,12.0
E01001372,22.0,22.0
E01001373,43.0,14.0
E01001374,155.0,108.0
E01001375,174.0,130.0
E01001376,141.0,128.0
E01001377,100.0,93.0
E01001379,150.0,140.0
E01001380,130.0,152.0
E01001381,108.0,118.0
E01001382,105.0,68.0
E01001383,92.0,93.0
E01001384,104.0,152.0
E01001385,99.0,126.0
E01001386,83.0,101.0
E01001387,92.0,115.0
E01001388,57.0,36.0
E01001389,103.0,141.0
E01001390,56.0,106.0
E01001391,64.0,56.0
E01001392,55.0,47.0
E01001393,66.0,96.0
E01001394,41.0,48.0
E01001395,56.0,25.0
E01001396,34.0,43.0
E01001397,56.0,79.0
E01001398,63.0,98.0
E01001399,47.0,91.0
E01001400,68.0,103.0
E01001401,66.0,78.0
E01001402,71.0,151.0
E01001403,68.0,123.0
E01001404,40.0,66.0
E01001405,102.0,161.0
E01001406,57.0,59.0
E01001407,74.0,94.0
E01001408,131.0,196.0
E01001409,77.0,114.0
E01001410,50.0,51.0
E01001411,124.0,184.0
E01001412,51.0,68.0
E01001413,95.0,101.0
E01001414,20.0,24.0
E01001415,56.0,124.0
E01001416,59.0,88.0
E01001417,62.0,332.0
E01001418,87.0,100.0
E01001419,87.0,87.0
E01001420,46.0,116.0
E01001421,69.0,70.0
E01001422,57.0,109.0
E01001423,48.0,23.0
E01001424,22.0,14.0
E01001425,59.0,27.0
E01001426,40.0,24.0
E01001427,27.0,13.0
E01001428,40.0,35.0
E01001429,14.0,1.0
E01001430,33.0,14.0
E01001431,44.0,30.0
E01001432,74.0,55.0
E01001433,42.0,23.0
E01001434,31.0,46.0
E01001435,42.0,32.0
E01001436,65.0,68.0
E01001437,67.0,31.0
E01001438,25.0,64.0
E01001439,57.0,28.0
E01001440,82.0,42.0
E01001441,43.0,48.0
E01001442,37.0,12.0
E01001444,79.0,72.0
E01001445,92.0,115.0
E01001446,45.0,69.0
E01001447,69.0,43.0
E01001448,48.0,60.0
E01001449,43.0,43.0
E01001450,125.0,126.0
E01001451,70.0,130.0
E01001452,60.0,56.0
E01001453,68.0,81.0
E01001454,81.0,84.0
E01001455,65.0,87.0
E01001456,63.0,96.0
E01001457,121.0,172.0
E01001458,48.0,31.0
E01001459,49.0,51.0
E01001460,56.0,61.0
E01001461,34.0,30.0
E01001462,23.0,27.0
E01001463,62.0,36.0
E01001464,19.0,25.0
E01001465,40.0,66.0
E01001466,56.0,37.0
E01001467,71.0,61.0
E01001468,39.0,198.0
E01001469,67.0,103.0
E01001470,58.0,111.0
E01001471,146.0,149.0
E01001472,111.0,132.0
E01001473,57.0,65.0
E01001474,154.0,176.0
E01001475,53.0,95.0
E01001476,41.0,71.0
E01001477,13.0,32.0
E01001478,46.0,69.0
E01001479,56.0,57.0
E01001480,39.0,42.0
E01001481,16.0,49.0
E01001482,40.0,32.0
E01001483,34.0,28.0
E01001484,41.0,61.0
E01001485,66.0,42.0
E01001486,44.0,37.0
E01001487,49.0,36.0
E01001488,59.0,74.0
E01001489,52.0,47.0
E01001491,59.0,43.0
E01001492,45.0,45.0
E01001493,42.0,47.0
E01001494,17.0,63.0
E01001495,101.0,83.0
E01001496,43.0,109.0
E01001497,21.0,48.0
E01001498,86.0,62.0
E01001499,42.0,45.0
E01001500,40.0,42.0
E01001501,88.0,62.0
E01001502,37.0,38.0
E01001503,40.0,51.0
E01001504,40.0,50.0
E01001505,52.0,32.0
E01001507,39.0,27.0
E01001508,75.0,34.0
E01001509,47.0,34.0
E01001511,83.0,99.0
E01001512,118.0,139.0
E01001513,40.0,77.0
E01001514,103.0,100.0
E01001515,34.0,58.0
E01001516,46.0,74.0
E01001517,55.0,16.0
E01001518,90.0,118.0
E01001520,53.0,60.0
E01001521,66.0,105.0
E01001522,120.0,93.0
E01001523,116.0,148.0
E01001524,41.0,41.0
E01001525,110.0,96.0
E01001526,96.0,91.0
E01001527,75.0,93.0
E01001528,42.0,306.0
E01001529,34.0,36.0
E01001530,64.0,70.0
E01001531,53.0,52.0
E01001532,57.0,88.0
E01001533,45.0,72.0
E01001534,82.0,40.0
E01001535,27.0,41.0
E01001536,117.0,145.0
E01001537,90.0,132.0
E01001538,67.0,90.0
E01001539,82.0,101.0
E01001540,90.0,141.0
E01001541,80.0,146.0
E01001542,97.0,76.0
E01001543,58.0,112.0
E01001544,71.0,80.0
E01001545,29.0,13.0
E01001546,57.0,64.0
E01001547,52.0,43.0
E01001548,61.0,53.0
E01001549,61.0,15.0
E01001550,36.0,43.0
E01001551,37.0,20.0
E01001552,77.0,88.0
E01001553,22.0,34.0
E01001554,30.0,12.0
E01001555,53.0,30.0
E01001556,31.0,34.0
E01001557,52.0,38.0
E01001558,44.0,24.0
E01001559,30.0,34.0
E01001560,44.0,20.0
E01001562,18.0,22.0
E01001563,56.0,139.0
E01001564,62.0,140.0
E01001565,104.0,109.0
E01001566,85.0,110.0
E01001567,63.0,81.0
E01001568,57.0,61.0
E01001569,109.0,92.0
E01001570,78.0,106.0
E01001571,55.0,84.0
E01001572,46.0,65.0
E01001573,44.0,78.0
E01001574,18.0,56.0
E01001575,27.0,38.0
E01001576,15.0,32.0
E01001577,30.0,39.0
E01001578,51.0,30.0
E01001579,31.0,59.0
E01001580,147.0,125.0
E01001581,138.0,118.0
E01001582,90.0,81.0
E01001583,126.0,87.0
E01001584,117.0,129.0
E01001585,90.0,121.0
E01001586,57.0,71.0
E01001587,236.0,133.0
E01001588,46.0,65.0
E01001589,53.0,49.0
E01001590,73.0,132.0
E01001591,36.0,50.0
E01001592,106.0,162.0
E01001593,122.0,188.0
E01001594,71.0,47.0
E01001595,43.0,69.0
E01001596,56.0,126.0
E01001597,52.0,108.0
E01001598,80.0,64.0
E01001599,46.0,67.0
E01001600,47.0,108.0
E01001601,63.0,111.0
E01001602,59.0,75.0
E01001603,36.0,31.0
E01001604,82.0,121.0
E01001605,45.0,105.0
E01001606,79.0,104.0
E01001607,65.0,110.0
E01001608,50.0,95.0
E01001609,79.0,78.0
E01001610,85.0,130.0
E01001611,105.0,102.0
E01001613,80.0,158.0
E01001614,67.0,82.0
E01001615,82.0,103.0
E01001617,122.0,114.0
E01001618,58.0,116.0
E01001619,164.0,168.0
E01001620,34.0,38.0
E01001621,60.0,60.0
E01001623,62.0,80.0
E01001624,54.0,82.0
E01001625,29.0,18.0
E01001629,20.0,48.0
E01001631,19.0,19.0
E01001632,75.0,92.0
E01001633,22.0,38.0
E01001634,17.0,34.0
E01001635,81.0,87.0
E01001636,54.0,57.0
E01001637,51.0,48.0
E01001638,26.0,53.0
E01001641,124.0,126.0
E01001642,142.0,173.0
E01001644,155.0,224.0
E01001645,75.0,88.0
E01001646,92.0,114.0
E01001647,45.0,76.0
E01001648,98.0,124.0
E01001649,48.0,55.0
E01001650,66.0,72.0
E01001651,35.0,62.0
E01001652,103.0,133.0
E01001653,23.0,36.0
E01001654,34.0,62.0
E01001655,23.0,26.0
E01001656,68.0,99.0
E01001657,109.0,111.0
E01001658,83.0,101.0
E01001659,45.0,101.0
E01001660,16.0,49.0
E01001661,51.0,75.0
E01001664,105.0,121.0
E01001665,84.0,79.0
E01001666,74.0,490.0
E01001669,54.0,42.0
E01001671,70.0,103.0
E01001672,30.0,57.0
E01001673,54.0,31.0
E01001674,54.0,59.0
E01001675,36.0,65.0
E01001676,34.0,17.0
E01001677,52.0,51.0
E01001678,59.0,80.0
E01001679,39.0,117.0
E01001680,73.0,106.0
E01001681,29.0,80.0
E01001682,67.0,79.0
E01001683,41.0,65.0
E01001684,62.0,44.0
E01001685,69.0,94.0
E01001686,39.0,80.0
E01001687,18.0,18.0
E01001688,35.0,68.0
E01001690,5.0,27.0
E01001692,4.0,30.0
E01001693,6.0,3.0
E01001694,33.0,33.0
E01001695,17.0,21.0
E01001696,5.0,59.0
E01001697,46.0,40.0
E01001698,32.0,25.0
E01001699,15.0,239.0
E01001700,28.0,69.0
E01001701,54.0,97.0
E01001702,6.0,15.0
E01001703,7.0,19.0
E01001704,66.0,86.0
E01001705,13.0,52.0
E01001708,66.0,125.0
E01001710,9.0,13.0
E01001712,16.0,30.0
E01001714,19.0,348.0
E01001715,75.0,93.0
E01001716,59.0,83.0
E01001717,25.0,43.0
E01001718,111.0,150.0
E01001719,34.0,115.0
E01001720,142.0,161.0
E01001722,29.0,61.0
E01001723,60.0,79.0
E01001724,123.0,92.0
E01001725,33.0,25.0
E01001726,29.0,15.0
E01001727,41.0,74.0
E01001728,26.0,14.0
E01001729,32.0,22.0
E01001730,13.0,62.0
E01001731,67.0,90.0
E01001732,22.0,51.0
E01001733,91.0,101.0
E01001734,73.0,121.0
E01001735,79.0,118.0
E01001736,59.0,127.0
E01001737,125.0,92.0
E01001738,71.0,102.0
E01001739,168.0,153.0
E01001740,38.0,130.0
E01001741,66.0,119.0
E01001742,90.0,84.0
E01001744,139.0,81.0
E01001745,118.0,59.0
E01001746,10.0,12.0
E01001747,127.0,122.0
E01001749,118.0,110.0
E01001750,89.0,72.0
E01001751,111.0,99.0
E01001753,39.0,26.0
E01001755,36.0,24.0
E01001756,110.0,208.0
E01001757,6.0,36.0
E01001758,63.0,89.0
E01001759,60.0,72.0
E01001760,45.0,134.0
E01001761,93.0,78.0
E01001762,94.0,98.0
E01001763,149.0,73.0
E01001764,37.0,72.0
E01001765,21.0,25.0
E01001767,58.0,119.0
E01001768,99.0,90.0
E01001769,65.0,81.0
E01001770,56.0,64.0
E01001772,7.0,28.0
E01001773,73.0,32.0
E01001774,47.0,102.0
E01001775,53.0,35.0
E01001776,25.0,55.0
E01001777,62.0,192.0
E01001780,50.0,47.0
E01001781,23.0,15.0
E01001783,37.0,15.0
E01001784,48.0,41.0
E01001785,75.0,82.0
E01001786,17.0,23.0
E01001787,22.0,19.0
E01001788,25.0,16.0
E01001789,82.0,93.0
E01001790,16.0,16.0
E01001791,41.0,50.0
E01001792,39.0,44.0
E01001793,49.0,66.0
E01001794,85.0,65.0
E01001795,103.0,90.0
E01001796,57.0,86.0
E01001798,23.0,35.0
E01001799,26.0,35.0
E01001800,18.0,16.0
E01001801,39.0,45.0
E01001802,23.0,27.0
E01001803,71.0,95.0
E01001804,41.0,35.0
E01001805,60.0,49.0
E01001806,53.0,99.0
E01001807,41.0,25.0
E01001808,29.0,15.0
E01001809,20.0,11.0
E01001811,1.0,13.0
E01001812,30.0,28.0
E01001813,6.0,11.0
E01001814,43.0,12.0
E01001815,60.0,48.0
E01001816,92.0,65.0
E01001819,81.0,97.0
E01001820,33.0,35.0
E01001821,35.0,43.0
E01001822,48.0,23.0
E01001823,12.0,32.0
E01001824,25.0,23.0
E01001825,21.0,14.0
E01001826,42.0,26.0
E01001827,14.0,8.0
E01001828,37.0,39.0
E01001829,101.0,132.0
E01001830,44.0,61.0
E01001831,50.0,65.0
E01001832,86.0,80.0
E01001833,77.0,129.0
E01001834,86.0,82.0
E01001835,49.0,75.0
E01001836,71.0,78.0
E01001837,68.0,82.0
E01001838,14.0,64.0
E01001839,60.0,165.0
E01001840,49.0,38.0
E01001841,54.0,70.0
E01001842,45.0,54.0
E01001843,55.0,47.0
E01001844,82.0,81.0
E01001845,24.0,39.0
E01001846,33.0,29.0
E01001847,54.0,65.0
E01001848,59.0,82.0
E01001849,87.0,338.0
E01001850,10.0,12.0
E01001851,130.0,123.0
E01001852,165.0,117.0
E01001853,118.0,94.0
E01001854,157.0,92.0
E01001855,149.0,156.0
E01001856,51.0,38.0
E01001857,35.0,32.0
E01001858,53.0,91.0
E01001859,137.0,94.0
E01001860,64.0,43.0
E01001861,73.0,49.0
E01001862,101.0,82.0
E01001863,112.0,86.0
E01001864,78.0,104.0
E01001865,111.0,116.0
E01001866,83.0,85.0
E01001867,83.0,59.0
E01001868,24.0,63.0
E01001869,99.0,52.0
E01001870,121.0,66.0
E01001871,84.0,47.0
E01001872,133.0,65.0
E01001873,98.0,63.0
E01001875,22.0,28.0
E01001876,12.0,13.0
E01001877,39.0,30.0
E01001878,48.0,30.0
E01001879,83.0,78.0
E01001880,57.0,46.0
E01001881,123.0,145.0
E01001882,143.0,149.0
E01001883,70.0,208.0
E01001884,46.0,79.0
E01001885,7.0,9.0
E01001886,41.0,77.0
E01001887,57.0,55.0
E01001888,126.0,118.0
E01001889,105.0,91.0
E01001890,57.0,96.0
E01001891,106.0,383.0
E01001892,82.0,53.0
E01001893,30.0,29.0
E01001894,39.0,72.0
E01001895,79.0,84.0
E01001896,75.0,90.0
E01001897,65.0,45.0
E01001898,105.0,243.0
E01001899,86.0,28.0
E01001900,59.0,41.0
E01001901,201.0,126.0
E01001902,174.0,138.0
E01001903,113.0,75.0
E01001904,193.0,158.0
E01001905,164.0,109.0
E01001906,150.0,121.0
E01001907,124.0,77.0
E01001908,130.0,84.0
E01001909,103.0,101.0
E01001910,75.0,98.0
E01001911,30.0,19.0
E01001912,12.0,4.0
E01001913,172.0,89.0
E01001914,94.0,94.0
E01001915,91.0,123.0
E01001916,111.0,90.0
E01001917,92.0,117.0
E01001918,109.0,92.0
E01001919,124.0,114.0
E01001920,67.0,51.0
E01001921,97.0,121.0
E01001922,141.0,102.0
E01001923,70.0,91.0
E01001924,178.0,126.0
E01001925,125.0,82.0
E01001926,164.0,120.0
E01001927,64.0,68.0
E01001928,58.0,56.0
E01001929,121.0,114.0
E01001930,95.0,92.0
E01001931,96.0,121.0
E01001932,56.0,76.0
E01001933,90.0,94.0
E01001934,67.0,84.0
E01001935,172.0,216.0
E01001937,121.0,118.0
E01001938,61.0,50.0
E01001940,75.0,56.0
E01001941,61.0,66.0
E01001942,119.0,58.0
E01001943,96.0,54.0
E01001944,27.0,9.0
E01001945,107.0,102.0
E01001946,50.0,61.0
E01001947,27.0,5.0
E01001948,146.0,141.0
E01001949,146.0,122.0
E01001950,111.0,101.0
E01001951,91.0,118.0
E01001952,128.0,115.0
E01001953,81.0,95.0
E01001954,83.0,80.0
E01001955,21.0,31.0
E01001956,50.0,40.0
E01001957,14.0,2.0
E01001958,12.0,21.0
E01001959,52.0,36.0
E01001960,59.0,114.0
E01001961,14.0,9.0
E01001962,81.0,99.0
E01001963,117.0,101.0
E01001964,99.0,135.0
E01001965,115.0,97.0
E01001966,37.0,69.0
E01001967,58.0,77.0
E01001968,102.0,110.0
E01001969,67.0,88.0
E01001970,27.0,32.0
E01001971,40.0,24.0
E01001972,58.0,77.0
E01001973,76.0,101.0
E01001974,74.0,101.0
E01001975,86.0,87.0
E01001976,65.0,64.0
E01001977,22.0,33.0
E01001978,31.0,31.0
E01001979,62.0,54.0
E01001980,68.0,60.0
E01001981,53.0,52.0
E01001982,52.0,84.0
E01001983,70.0,86.0
E01001984,142.0,114.0
E01001985,131.0,136.0
E01001986,133.0,152.0
E01001987,122.0,102.0
E01001988,139.0,87.0
E01001989,131.0,81.0
E01001990,127.0,124.0
E01001991,117.0,74.0
E01001992,95.0,92.0
E01001993,58.0,75.0
E01001994,86.0,98.0
E01001995,90.0,72.0
E01001996,105.0,94.0
E01001997,71.0,89.0
E01001998,97.0,132.0
E01001999,72.0,99.0
E01002000,88.0,122.0
E01002001,64.0,105.0
E01002002,57.0,91.0
E01002003,48.0,60.0
E01002004,99.0,110.0
E01002005,90.0,124.0
E01002006,149.0,136.0
E01002007,119.0,111.0
E01002008,56.0,73.0
E01002009,102.0,108.0
E01002010,76.0,109.0
E01002011,102.0,144.0
E01002013,74.0,111.0
E01002014,115.0,78.0
E01002015,83.0,65.0
E01002016,101.0,130.0
E01002017,100.0,110.0
E01002018,73.0,82.0
E01002019,62.0,67.0
E01002020,72.0,91.0
E01002021,79.0,42.0
E01002022,58.0,171.0
E01002023,79.0,70.0
E01002024,61.0,90.0
E01002025,99.0,116.0
E01002026,16.0,18.0
E01002027,39.0,59.0
E01002028,60.0,70.0
E01002029,71.0,35.0
E01002030,54.0,558.0
E01002031,74.0,65.0
E01002032,62.0,40.0
E01002033,59.0,49.0
E01002034,7.0,19.0
E01002036,36.0,28.0
E01002037,19.0,10.0
E01002038,33.0,20.0
E01002039,34.0,11.0
E01002040,49.0,40.0
E01002041,45.0,41.0
E01002042,32.0,51.0
E01002043,74.0,87.0
E01002044,79.0,102.0
E01002045,45.0,31.0
E01002046,24.0,46.0
E01002047,50.0,87.0
E01002048,45.0,93.0
E01002049,66.0,50.0
E01002050,33.0,15.0
E01002051,44.0,11.0
E01002052,29.0,40.0
E01002053,36.0,18.0
E01002054,37.0,10.0
E01002055,34.0,14.0
E01002056,77.0,60.0
E01002057,48.0,30.0
E01002058,29.0,76.0
E01002059,84.0,103.0
E01002060,101.0,105.0
E01002061,105.0,120.0
E01002062,123.0,174.0
E01002063,120.0,78.0
E01002064,83.0,99.0
E01002065,70.0,95.0
E01002066,22.0,22.0
E01002067,47.0,51.0
E01002068,38.0,45.0
E01002069,32.0,44.0
E01002070,64.0,233.0
E01002071,12.0,19.0
E01002072,32.0,30.0
E01002073,35.0,40.0
E01002074,16.0,22.0
E01002075,52.0,46.0
E01002076,56.0,34.0
E01002077,25.0,25.0
E01002078,69.0,333.0
E01002079,62.0,49.0
E01002081,20.0,6.0
E01002082,12.0,6.0
E01002083,46.0,104.0
E01002084,77.0,79.0
E01002085,36.0,96.0
E01002086,45.0,190.0
E01002087,43.0,53.0
E01002088,55.0,90.0
E01002089,2.0,2.0
E01002090,39.0,249.0
E01002091,29.0,18.0
E01002092,30.0,40.0
E01002093,30.0,22.0
E01002094,37.0,52.0
E01002095,27.0,47.0
E01002096,28.0,30.0
E01002097,19.0,83.0
E01002098,68.0,110.0
E01002099,31.0,21.0
E01002100,55.0,39.0
E01002101,75.0,108.0
E01002102,43.0,70.0
E01002103,69.0,79.0
E01002104,36.0,16.0
E01002105,66.0,69.0
E01002106,64.0,57.0
E01002107,55.0,72.0
E01002108,60.0,58.0
E01002109,94.0,81.0
E01002110,70.0,50.0
E01002111,61.0,55.0
E01002112,101.0,89.0
E01002113,40.0,64.0
E01002114,80.0,126.0
E01002115,34.0,198.0
E01002116,70.0,72.0
E01002118,92.0,67.0
E01002119,59.0,94.0
E01002120,31.0,10.0
E01002121,35.0,53.0
E01002122,59.0,54.0
E01002123,26.0,40.0
E01002124,41.0,25.0
E01002125,54.0,25.0
E01002127,63.0,61.0
E01002128,95.0,76.0
E01002129,78.0,200.0
E01002130,83.0,65.0
E01002131,29.0,49.0
E01002132,107.0,125.0
E01002133,52.0,21.0
E01002134,79.0,47.0
E01002135,36.0,55.0
E01002136,73.0,68.0
E01002137,69.0,92.0
E01002138,52.0,35.0
E01002139,28.0,24.0
E01002140,77.0,52.0
E01002141,74.0,105.0
E01002142,80.0,66.0
E01002143,47.0,49.0
E01002144,72.0,121.0
E01002145,73.0,83.0
E01002146,44.0,90.0
E01002147,51.0,66.0
E01002148,77.0,46.0
E01002149,44.0,55.0
E01002150,104.0,80.0
E01002151,35.0,26.0
E01002152,99.0,121.0
E01002153,74.0,71.0
E01002155,113.0,107.0
E01002156,71.0,66.0
E01002157,50.0,61.0
E01002158,36.0,75.0
E01002159,71.0,51.0
E01002160,137.0,69.0
E01002161,50.0,61.0
E01002162,57.0,67.0
E01002163,67.0,84.0
E01002164,86.0,101.0
E01002165,33.0,30.0
E01002166,27.0,31.0
E01002167,20.0,23.0
E01002168,23.0,36.0
E01002169,22.0,10.0
E01002170,32.0,34.0
E01002171,43.0,33.0
E01002172,57.0,47.0
E01002173,42.0,40.0
E01002174,34.0,27.0
E01002175,21.0,15.0
E01002176,39.0,34.0
E01002177,24.0,42.0
E01002178,29.0,46.0
E01002179,50.0,80.0
E01002181,54.0,202.0
E01002182,78.0,77.0
E01002183,57.0,49.0
E01002184,73.0,50.0
E01002185,50.0,55.0
E01002186,102.0,129.0
E01002187,120.0,107.0
E01002188,77.0,136.0
E01002189,107.0,116.0
E01002190,58.0,118.0
E01002191,79.0,90.0
E01002192,84.0,136.0
E01002193,73.0,41.0
E01002194,103.0,102.0
E01002195,62.0,73.0
E01002196,78.0,78.0
E01002197,45.0,37.0
E01002198,34.0,27.0
E01002199,28.0,25.0
E01002200,58.0,34.0
E01002201,24.0,39.0
E01002202,80.0,32.0
E01002203,76.0,42.0
E01002204,58.0,44.0
E01002206,30.0,46.0
E01002207,35.0,41.0
E01002208,73.0,60.0
E01002209,37.0,43.0
E01002210,39.0,68.0
E01002211,20.0,23.0
E01002212,58.0,87.0
E01002214,50.0,53.0
E01002215,61.0,23.0
E01002216,54.0,32.0
E01002217,57.0,92.0
E01002218,104.0,75.0
E01002219,71.0,26.0
E01002220,46.0,55.0
E01002221,42.0,31.0
E01002222,51.0,46.0
E01002223,28.0,45.0
E01002224,33.0,30.0
E01002225,62.0,109.0
E01002226,134.0,197.0
E01002227,26.0,26.0
E01002228,76.0,72.0
E01002229,70.0,90.0
E01002230,83.0,120.0
E01002231,96.0,39.0
E01002232,97.0,101.0
E01002233,56.0,55.0
E01002234,44.0,39.0
E01002235,46.0,44.0
E01002236,65.0,72.0
E01002237,50.0,57.0
E01002238,53.0,67.0
E01002239,68.0,76.0
