LSOA21CD,Number of sales 2011_weighted,Number of sales 2021_weighted
E01000746,149.0,169.0
E01000747,74.0,108.0
E01000748,83.0,110.0
E01000749,79.0,88.0
E01000750,48.0,86.0
E01000751,114.0,190.0
E01000752,96.0,132.0
E01000753,72.0,165.0
E01000754,95.0,162.0
E01000755,103.0,147.0
E01000756,93.0,99.0
E01000757,80.0,95.0
E01000758,65.0,110.0
E01000759,72.0,104.0
E01000760,86.0,102.0
E01000761,89.0,110.0
E01000762,122.0,170.0
E01000763,66.0,133.0
E01000764,73.0,147.0
E01000765,111.0,143.0
E01000766,106.0,113.0
E01000767,87.0,78.0
E01000768,87.0,105.0
E01000769,49.0,57.0
E01000770,104.0,129.0
E01000771,51.0,63.0
E01000772,111.0,157.0
E01000773,47.0,98.0
E01000774,68.0,99.0
E01000775,114.0,140.0
E01000777,63.0,90.0
E01000778,60.0,101.0
E01000779,100.0,75.0
E01000780,61.0,112.0
E01000781,57.0,61.0
E01000782,28.0,40.0
E01000783,47.0,64.0
E01000784,101.0,117.0
E01000785,67.0,81.0
E01000786,76.0,103.0
E01000787,88.0,141.0
E01000788,72.0,84.0
E01000789,24.0,22.0
E01000790,148.0,166.0
E01000791,92.0,120.0
E01000792,62.0,93.0
E01000793,53.0,133.0
E01000794,90.0,98.0
E01000795,60.0,105.0
E01000796,20.0,26.0
E01000797,105.0,103.0
E01000798,20.0,50.0
E01000799,54.0,144.0
E01000800,63.0,102.0
E01000801,67.0,76.0
E01000802,112.0,166.0
E01000803,92.0,130.0
E01000804,71.0,87.0
E01000805,89.0,139.0
E01000806,60.0,93.0
E01000807,80.0,123.0
E01000808,73.0,130.0
E01000809,117.0,118.0
E01000810,86.0,141.0
E01000811,89.0,142.0
E01000812,74.0,140.0
E01000813,65.0,138.0
E01000814,60.0,84.0
E01000815,98.0,94.0
E01000816,67.0,106.0
E01000818,74.0,92.0
E01000819,46.0,85.0
E01000820,86.0,89.0
E01000822,100.0,148.0
E01000823,107.0,142.0
E01000824,70.0,96.0
E01000825,177.0,180.0
E01000826,71.0,63.0
E01000827,124.0,138.0
E01000828,141.0,165.0
E01000829,91.0,126.0
E01000830,72.0,80.0
E01000831,172.0,147.0
E01000832,87.0,71.0
E01000833,49.0,46.0
E01000834,69.0,85.0
E01000835,72.0,78.0
E01000836,67.0,94.0
E01000837,115.0,109.0
E01000838,74.0,104.0
E01000839,66.0,99.0
E01000840,98.0,98.0
E01000841,112.0,87.0
E01000842,124.0,100.0
E01000843,130.0,84.0
E01000844,162.0,156.0
E01000845,113.0,84.0
E01000846,40.0,42.0
E01000847,120.0,57.0
E01000848,132.0,100.0
E01000849,108.0,116.0
E01000850,76.0,38.0
E01000851,94.0,80.0
E01000853,46.0,25.0
E01000855,219.0,110.0
E01000856,34.0,17.0
E01000857,76.0,71.0
E01000858,33.0,21.0
E01000859,198.0,74.0
E01000860,63.0,55.0
E01000861,94.0,72.0
E01000862,280.0,195.0
E01000863,105.0,56.0
E01000866,63.0,77.0
E01000867,56.0,20.0
E01000868,19.0,46.0
E01000869,130.0,103.0
E01000870,92.0,94.0
E01000871,90.0,68.0
E01000872,68.0,63.0
E01000873,88.0,92.0
E01000874,108.0,93.0
E01000875,91.0,72.0
E01000876,77.0,53.0
E01000877,93.0,79.0
E01000878,91.0,158.0
E01000879,80.0,71.0
E01000880,88.0,82.0
E01000881,71.0,44.0
E01000882,128.0,72.0
E01000883,102.0,100.0
E01000884,131.0,114.0
E01000885,67.0,61.0
E01000886,89.0,95.0
E01000887,111.0,75.0
E01000888,96.0,72.0
E01000889,30.0,38.0
E01000890,28.0,11.0
E01000891,29.0,29.0
E01000892,101.0,99.0
E01000893,108.0,112.0
E01000894,101.0,94.0
E01000895,72.0,111.0
E01000896,109.0,100.0
E01000897,109.0,113.0
E01000898,73.0,37.0
E01000899,107.0,124.0
E01000900,127.0,97.0
E01000901,23.0,24.0
E01000902,27.0,34.0
E01000903,69.0,81.0
E01000904,93.0,60.0
E01000905,32.0,47.0
E01000906,142.0,128.0
E01000907,45.0,37.0
E01000908,82.0,96.0
E01000909,78.0,75.0
E01000910,64.0,64.0
E01000911,77.0,79.0
E01000912,85.0,79.0
E01000913,141.0,116.0
E01000914,125.0,61.0
E01000915,21.0,20.0
E01000916,129.0,28.0
E01000917,59.0,18.0
E01000918,55.0,91.0
E01000919,151.0,67.0
E01000920,74.0,308.0
E01000921,99.0,66.0
E01000922,70.0,74.0
E01000923,85.0,101.0
E01000924,67.0,99.0
E01000925,30.0,36.0
E01000926,49.0,52.0
E01000927,79.0,94.0
E01000928,74.0,99.0
E01000929,46.0,57.0
E01000930,106.0,55.0
E01000931,72.0,182.0
E01000932,114.0,153.0
E01000933,104.0,56.0
E01000934,46.0,43.0
E01000935,38.0,33.0
E01000937,43.0,39.0
E01000938,64.0,6.0
E01000939,9.0,9.0
E01000941,24.0,8.0
E01000942,62.0,75.0
E01000943,61.0,24.0
E01000944,33.0,13.0
E01000946,66.0,88.0
E01000947,89.0,42.0
